2017-05-14 16:20:00-2017-05-14 16:30:00,监测点id
1368,10300202
1338,10100405
1337,10200104
1236,10200103
1217,10200102
1149,30606706
1037,10100211
984,20500304
980,10100403
978,10200402
970,10300503
965,10300505
949,30606707
937,20501405
936,10100205
932,2010073
931,20501404
920,20100301
910,20501803
896,10300213
892,20100306
891,30606704
883,30606702
860,10300212
839,10300201
820,30606703
779,2010138
774,10300207
770,30606708
767,20507303
754,2010325
748,20104605
745,20501805
737,20501802
735,2010133
731,2010132
730,20507304
727,20501409
717,10100204
717,20504601
716,10300506
708,20501407
702,10300504
701,20507302
676,20501402
673,20501811
669,20400804
668,20507301
663,10203802
659,20602101
658,20501403
655,20504604
653,2010044
652,20501408
645,20501406
625,20504202
619,20104607
611,10203801
608,2010260
602,20101813
602,20501807
595,10306101
577,30606710
577,20501804
551,20403602
549,2010288
542,2010302
532,20606504
531,10100206
530,2010319
521,2010290
517,20501810
514,2010320
509,10100603
501,20504602
498,20400801
495,20400803
490,20400806
487,2010123
485,10300602
482,10100604
478,10100606
473,10100605
467,20400805
466,20606603
461,20504603
457,10101001
454,30606709
443,20602103
433,2010199
433,20502003
432,10103501
426,10103502
412,20504203
411,20501410
405,20606602
404,20606503
397,20501411
394,20502004
393,2010382
390,20606604
390,2010250
385,20300615
384,10101004
377,10101003
369,20602104
369,30606705
363,20400802
362,10100406
361,2010010
352,10200613
345,20507402
341,2010020
340,20506501
338,2010072
332,20507403
329,2010287
327,2010030
327,2010198
327,2010301
325,2010042
323,2010341
323,2010303
321,2010205
321,2010381
319,20605301
318,2010043
318,2010213
317,10300607
311,20606601
309,2010211
309,2010194
306,20104606
304,20200906
301,30606002
293,10100203
289,10100612
288,30701903
285,2010040
285,2010021
284,2010224
283,2010009
279,2010035
277,20503401
276,10100609
275,20605402
275,2010002
274,2010342
273,30701902
272,20200905
272,2010163
269,20602603
265,2010003
264,20503402
260,2010045
259,2010046
259,20605302
256,2010326
256,20605002
255,10101201
254,20504901
254,2010135
250,2010214
246,2010004
244,20606606
244,20602602
243,2010195
243,30603601
240,20501809
238,2010364
237,2010220
236,2010052
234,2010031
232,2010025
232,20101812
232,2010001
232,2010036
232,2010156
231,20602405
231,2010039
229,2010125
229,2010026
227,2010017
226,20602406
226,2010274
225,2010124
225,10101301
220,2010005
220,20605102
219,20605101
218,2010311
218,20605401
217,20504702
216,20606605
216,2010327
215,20605202
214,2010018
213,20504204
210,31006901
207,2010203
203,20605001
203,10101302
202,2010273
202,2010034
200,2010019
200,20300701
198,2010134
197,2010339
196,10301101
194,20101816
190,10107801
190,20605201
189,2010041
189,10107802
188,2010200
188,10200904
188,2010047
187,30707901
185,2010357
184,2010038
182,2010062
182,2010353
181,30707902
179,2010209
176,20301815
176,2010063
175,20504205
175,10301102
174,2010141
174,2010154
174,2010306
174,2010027
172,2010358
172,2010340
170,2010259
169,2010282
169,2010061
168,2010178
167,2010221
167,2010225
166,2010121
164,2010309
163,2010193
163,20602106
162,2010215
161,2010064
161,20504701
161,2010281
159,2010343
157,2010165
156,30603301
155,2010048
154,2010210
153,2010151
152,2010216
151,2010029
151,2010119
150,2010219
146,2010179
145,2010127
139,2010122
139,2010120
137,2010024
137,2010149
135,2010308
134,2010201
133,2010351
133,2010344
130,2010118
129,2010074
127,2010028
126,20504501
126,2010116
125,2010183
125,2010328
125,2010354
125,2010296
123,2010202
123,2010166
122,2010192
121,2010329
121,10107701
120,2010050
119,2010278
118,2010218
117,20501808
115,20605502
115,10107702
113,30605901
113,10104301
112,2010330
111,2010115
110,2010140
109,2010239
109,2010294
107,2010037
107,2010176
105,20101817
103,2010144
103,2010332
100,2010349
100,2010347
98,20504902
98,2010295
97,2010374
97,20504801
95,2010177
95,30608002
94,20605501
93,2010117
93,20602601
92,2010350
91,2010189
89,20807602
89,2010126
87,10207101
87,2010258
86,2010070
85,10403701
84,20504802
84,30608001
84,2010167
84,20204101
82,20807502
82,2010323
80,2010082
79,2010335
79,2010324
79,2010078
78,2010146
78,2010143
76,2010182
73,2010014
72,2010015
70,2010049
69,2010060
69,2010059
68,2010013
67,2010081
67,20301814
67,20807601
65,2010257
62,2010375
61,2010145
60,2010286
59,2010338
59,2010245
59,2010071
57,2010283
57,2010077
57,2010377
53,2010016
53,20807501
53,2010069
53,30602505
52,30602506
51,10207102
51,2010083
48,2010207
48,2010379
47,2010380
47,2010173
47,2010169
44,2010284
43,2010170
43,2010084
41,2010175
41,2010285
40,20602105
39,2010168
37,2010174
36,2010231
32,2010172
29,2010369
28,2010243
28,2010080
27,2010079
26,2010265
26,2010230
26,2010333
24,2010187
22,2010240
22,2010057
21,2010373
21,2010164
20,2010236
20,2010233
19,2010058
17,2010186
14,20507401
10,2010237
10,31007001
8,2010111
5,2010232
5,20602701
