2017-05-14 08:20:00-2017-05-14 08:30:00,监测点id
2010,30606701
1155,10100406
973,10200103
909,10300202
807,10100203
788,20501405
788,20100306
739,10200104
730,10100206
698,10100204
696,10100405
691,10300201
673,10200102
670,10100205
613,2010137
597,20501403
590,20501409
587,2010260
574,20104607
571,20501407
570,20501404
567,10100211
553,20104403
552,10200904
548,20100301
542,10300503
540,10300213
540,10300504
538,2010364
535,10200903
527,10100407
527,10200901
515,10300212
515,20500304
512,2010132
509,30606706
508,10100403
503,2010325
502,10200402
499,30606708
492,10300505
487,2010123
482,20501408
481,10306101
480,10300207
477,20104401
473,30606703
464,10203801
452,30606707
443,10300506
438,10100404
420,10203802
414,20104605
413,2010131
406,2010138
398,20504203
395,30606702
390,2010289
389,30606704
387,20501402
386,20504601
381,20501807
380,2010319
375,10101001
375,20501811
372,20501803
370,20501413
369,20501406
362,2010290
359,2010198
357,2010133
355,10100408
350,2010302
347,20507304
346,20506501
337,20501412
336,20606503
334,20501410
333,20602102
331,10101301
331,20507301
329,20506502
328,2010320
319,20400803
318,2010044
317,20400806
312,20400805
306,20606602
305,10301102
303,2010288
299,10301101
296,20507303
295,20502003
295,10103502
295,20507402
292,20606504
290,20501411
290,10300602
290,30606710
288,20507302
286,20104402
283,10100603
281,20606604
281,10100604
277,10101003
277,2010363
276,2010382
272,20507403
271,20502004
270,30606709
269,20606603
269,20501805
268,20504202
265,10100606
261,10101004
261,20605302
258,20504603
255,30606705
254,2010336
253,2010381
250,20504602
249,20204001
242,2010199
238,2010326
238,20605301
237,2010335
236,10101201
234,20101816
232,2010250
232,20602603
224,2010278
224,2010124
223,2010216
218,2010341
218,2010190
216,20503401
213,2010135
212,10103501
211,20501810
209,2010125
207,2010072
203,2010200
201,2010213
201,2010045
199,20300615
198,20606601
196,2010338
196,2010205
193,20602101
191,20400804
191,20504604
188,10300607
186,20101813
186,20606606
185,2010287
185,10100605
183,2010018
180,2010303
179,10300601
175,2010277
175,20301815
174,30701902
174,2010249
173,2010046
173,2010009
168,30603601
167,10100612
167,2010248
165,20104606
164,10100610
163,2010025
163,2010211
162,20501809
162,20602104
162,20400802
161,20104404
160,2010047
160,2010182
159,2010052
158,20602602
158,20504702
157,2010026
154,30606002
153,2010195
153,20200905
152,30701903
152,2010214
152,2010183
151,2010179
151,20501802
150,10107801
149,20504201
149,2010031
148,10101202
148,2010035
148,20602103
148,2010020
146,2010019
144,2010346
144,2010309
144,20602405
143,20503402
141,2010202
140,2010274
139,2010353
139,20403602
138,2010342
138,10107802
138,2010163
138,2010184
137,2010273
136,20606605
136,2010345
135,10200613
135,2010267
133,2010061
133,2010154
132,2010048
132,20605101
132,2010185
130,10100609
130,20602403
130,20602404
130,2010004
130,20605202
129,20300701
128,2010027
128,2010217
128,2010311
127,2010134
127,2010327
127,2010268
127,20605002
126,2010165
125,2010003
125,20504901
123,2010259
122,10200614
122,2010156
121,2010002
121,20504701
121,20605001
121,20605201
120,2010219
120,2010201
120,2010221
119,20605502
119,2010034
118,2010021
117,20605402
117,20504501
116,20605401
115,2010351
115,2010036
114,2010340
113,2010149
112,2010001
112,2010331
112,2010343
112,2010304
111,2010281
111,2010074
111,2010191
110,2010337
109,2010328
109,2010073
108,20504205
107,20101812
107,20101817
107,20605102
107,31006901
106,10101302
104,2010215
103,2010225
102,2010178
101,2010062
101,2010358
101,2010194
100,2010042
100,2010339
99,20504204
98,2010269
97,2010329
96,2010144
96,2010357
96,20501901
96,20602106
95,2010039
95,2010192
94,20200906
94,20504801
93,2010041
92,2010276
89,20807201
89,20602406
89,2010118
89,2010064
88,2010308
88,2010119
87,20602201
87,2010210
86,2010043
86,2010029
86,2010349
85,2010224
84,2010005
84,2010203
83,2010166
83,2010306
83,2010296
83,2010209
81,20501701
81,2010010
80,2010220
79,2010040
79,2010121
78,2010344
78,2010282
77,2010063
77,2010120
77,2010305
76,2010275
76,30608002
75,2010350
75,2010122
74,30605901
74,2010151
74,2010266
74,2010188
74,20807202
73,2010176
73,2010050
73,10107701
73,20602601
73,2010078
71,2010024
71,2010189
70,2010270
70,2010354
70,10103901
69,10104301
66,2010141
66,2010117
65,2010218
65,2010295
64,2010193
63,2010294
63,30603301
63,10107702
62,20602301
61,2010028
61,2010265
60,2010114
60,20504802
60,30608001
60,2010059
60,20402801
60,2010323
60,2010330
60,30602505
59,10403701
59,2010113
57,2010127
57,2010060
56,2010242
55,2010347
55,2010258
55,2010145
55,2010077
54,2010038
54,2010130
53,2010081
50,2010262
50,20504902
50,2010324
50,2010049
50,2010140
49,2010116
49,2010030
49,2010115
49,2010013
48,20605501
47,2010177
47,2010332
47,20807502
46,2010143
46,2010243
45,2010257
45,20807601
44,2010283
43,2010037
41,10207101
41,2010126
40,2010285
40,2010379
39,20400801
38,20501808
37,2010173
37,2010172
37,2010375
36,2010071
36,2010239
35,2010286
35,20807602
34,2010333
34,20301814
34,20807501
33,2010146
33,2010334
33,2010082
32,2010175
31,2010380
30,2010174
30,30602506
30,2010207
30,2010245
30,2010069
30,2010083
29,2010284
28,2010368
28,2010084
25,2010369
25,2010014
25,2010240
25,2010228
23,2010378
23,2010070
23,2010187
22,2010016
22,2010229
21,2010015
20,2010170
19,2010230
18,2010261
18,20602105
17,2010241
17,2010079
16,2010058
16,2010057
15,20507401
15,2010186
14,2010080
14,2010169
13,2010373
12,2010237
12,2010377
11,2010231
11,10207102
10,2010164
7,2010111
7,2010232
6,20602701
6,2010234
5,2010376
5,2010235
5,2010233
5,2010226
4,31007001
3,2010236
3,2010227
1,2010167
