2017-05-14 12:50:00-2017-05-14 13:00:00,监测点id
1097,10200103
1014,10200104
991,10300202
945,10100405
933,20500304
909,10200102
908,10200402
817,20100301
810,10100211
805,20100306
765,10300504
762,10100407
736,10300212
736,20501405
720,30606706
710,10200903
699,20501408
695,10300207
683,10300505
680,10300503
670,2010364
669,30606701
667,30606702
662,20501406
656,10100408
631,10300506
630,10100205
623,10300201
622,30606707
619,10200901
618,2010133
614,10203801
610,20501404
609,2010325
603,20501403
601,10100204
596,20501803
587,2010137
586,10100403
583,20501409
583,20104605
580,10203802
567,2010301
567,2010260
566,30606704
555,2010138
550,10300213
543,20501407
539,2010132
528,20104607
515,30606703
506,10306101
505,10100404
496,20501402
493,2010199
491,2010302
486,20501811
472,20501802
468,2010123
463,20504604
462,2010289
460,20507301
458,20400804
457,20506502
457,20400803
455,20507304
451,20504602
449,20504202
443,20606504
441,10100606
441,2010319
431,10100604
425,30606708
423,2010320
420,2010044
418,20400805
417,20507302
415,20400806
410,2010290
407,20507303
402,20504203
400,20501807
395,20504601
392,10100206
387,10100603
381,20504603
378,2010073
377,10103501
368,20501805
366,20501411
365,10300602
364,10101001
357,20605302
351,20506501
351,10103502
346,20606503
346,2010363
345,30606710
340,20501410
340,20602101
331,10101003
331,2010288
331,10101004
326,2010198
323,20502004
321,30606709
318,2010250
318,20502003
315,2010336
313,20501412
312,10100406
311,20507402
310,20501413
309,20400801
308,20501810
306,2010335
305,20403602
302,20501804
300,20300615
296,10200614
295,20507403
294,20606603
294,2010072
294,20606602
294,10101301
294,20602102
291,10200613
288,20104606
283,20606604
283,10100612
282,10100610
273,10101202
272,20605301
267,2010213
266,2010010
264,2010382
264,20602603
263,20504901
261,10101201
260,20101813
259,2010341
258,10100605
256,2010020
253,2010001
251,20400802
250,20602103
249,10100203
248,2010205
248,20602405
247,30606002
246,2010381
244,2010002
244,2010249
242,2010004
241,2010287
241,2010216
241,2010003
239,20606601
238,30606705
237,10300601
236,2010248
234,2010163
233,10100609
232,2010190
229,10301102
229,2010303
229,2010046
227,20503401
226,30603601
226,2010021
226,2010200
225,2010009
225,20602104
223,2010045
223,2010018
222,20605402
220,2010278
220,2010277
219,10301101
219,30701902
217,2010047
216,2010331
215,20602602
213,2010202
211,2010034
207,2010048
207,2010183
203,31006901
202,2010026
201,2010224
200,2010035
198,2010182
198,30701903
197,20605202
197,2010194
196,2010211
193,20503402
192,2010125
192,2010346
191,2010124
191,2010025
189,2010309
187,2010342
187,20501809
186,10107802
186,2010345
185,20101816
184,20200905
184,2010311
184,2010340
181,20605101
180,2010185
180,2010327
179,2010214
179,2010135
178,2010225
177,2010019
177,20606606
175,20605102
174,2010042
174,2010052
173,2010338
172,2010017
172,2010043
170,10101302
166,20602201
166,2010031
164,2010134
163,2010036
163,20606605
162,2010267
160,10107801
158,2010195
158,2010268
158,20605201
157,20504702
156,20602406
156,20300701
155,2010353
152,2010328
150,2010274
150,2010005
149,2010184
148,2010273
148,20504205
147,2010156
146,2010220
145,20602106
144,2010027
144,20605002
144,2010039
142,2010040
142,2010041
140,2010217
138,2010063
138,2010358
138,2010114
136,2010337
135,20605401
135,2010141
135,2010191
135,20504204
133,2010339
133,20301815
132,20605502
131,2010343
131,20101812
131,2010305
130,2010259
130,2010357
128,2010121
127,2010209
127,2010144
124,2010282
124,2010061
123,2010351
123,2010276
121,2010166
121,2010119
120,2010038
118,2010304
116,2010165
116,2010219
116,2010308
115,2010354
115,20605001
114,20807201
114,2010270
114,2010275
113,2010122
112,20200906
112,2010062
112,20504701
111,10300607
110,2010203
108,2010030
108,2010281
107,2010330
107,10104301
106,2010201
105,20504201
105,2010179
105,2010028
105,2010344
104,2010306
104,2010294
103,2010115
103,2010210
102,2010024
101,2010154
101,2010221
100,2010064
99,2010178
99,2010151
99,2010269
98,2010329
98,2010349
97,30605901
96,2010215
96,2010116
96,2010242
96,2010074
95,2010113
95,2010029
95,2010266
94,2010050
92,2010239
91,2010192
89,20504501
89,2010118
88,2010149
87,2010243
87,2010140
86,20602601
85,2010037
84,30608001
84,20501701
84,2010332
83,2010117
83,2010218
82,2010296
81,20504801
81,20101817
81,2010265
80,2010193
80,10200904
78,2010126
77,2010323
77,2010176
77,10103901
77,10107701
77,10403701
77,2010257
76,2010189
76,2010347
75,20501901
75,2010120
74,2010078
74,2010188
74,2010295
74,30603301
74,10107702
72,2010127
72,2010082
72,2010060
72,2010059
71,2010071
71,2010015
70,2010081
69,2010143
68,20501808
68,20504802
67,2010077
67,20504902
67,2010350
63,20605501
62,30608002
61,2010049
60,2010016
60,2010146
60,20807502
59,2010177
58,20807601
56,20301814
56,2010258
55,2010013
54,20807602
54,2010145
52,2010245
48,2010070
46,30602505
45,2010379
45,2010378
44,20807501
44,2010014
44,2010375
43,2010285
43,2010083
42,2010334
41,20602301
41,20602105
39,2010286
39,2010186
38,10207101
37,2010324
37,2010069
36,2010333
36,2010173
35,2010207
34,2010377
34,2010168
34,2010084
32,2010175
30,2010080
30,2010283
30,2010172
29,2010241
29,2010284
27,2010169
27,2010369
27,2010380
26,2010229
26,2010174
26,2010079
25,2010228
25,2010262
24,30602506
24,20507401
24,2010170
24,2010187
23,20602701
22,2010368
22,2010240
21,2010231
19,2010058
18,2010235
18,2010057
18,2010164
18,2010167
17,10207102
15,2010261
12,2010230
11,2010233
10,2010373
10,2010234
9,2010237
9,2010232
8,2010376
7,2010226
6,2010227
5,2010236
5,31007001
4,2010111
1,20501401
