2017-05-21 11:50:00-2017-05-21 12:00:00,监测点id
1039,20504601
1024,10100204
1018,10200104
1011,10200103
1006,10300202
969,2010054
960,10300212
937,10300207
931,10300201
928,10100205
925,10100211
910,10200102
880,20501803
804,10100405
790,20500304
778,10100403
768,10200903
762,30606706
747,10100404
735,20504604
722,20504602
720,20100301
718,10100206
707,20104403
704,20100306
691,20501405
690,30606702
689,2010131
685,20501404
680,20501802
677,2010364
676,10300504
669,10300213
659,10200901
656,20501408
650,30606707
647,20104401
644,20101813
641,2010137
624,10300503
614,20501805
614,10300505
600,2010138
595,2010325
594,30606704
585,10300506
579,20501406
577,20104605
567,10100407
548,20501402
544,20501409
539,30606701
526,10203802
524,20501407
511,20104402
510,20400806
490,10306101
489,20507303
488,20400803
487,20501403
487,30606703
485,20204001
484,30606708
484,10100408
483,20507302
472,20104607
466,20504202
458,2010289
447,2010302
443,20501804
442,20507301
439,30606710
435,10300602
429,2010123
429,2010319
424,20501811
416,2010044
414,20507304
413,20501807
410,10100406
409,10100203
408,2010290
402,10300601
392,20504603
388,2010320
387,10203801
382,10103501
380,20400804
379,2010288
376,10100604
375,10300607
372,10103502
357,10101001
355,2010072
352,10100603
350,20502004
350,2010250
348,20606603
345,20501411
345,10100606
343,20501410
332,2010200
330,20606503
325,20606504
324,30603601
320,2010363
318,20605302
318,20602101
316,20501412
316,10100609
315,10101003
315,2010381
315,20104404
313,2010382
312,2010199
308,10101004
304,20400801
301,20602102
300,20300615
298,2010341
297,30606709
290,2010335
289,2010336
285,20501810
283,2010198
281,20502003
278,31006901
277,2010073
269,10301102
269,20507402
268,10200613
268,20403602
265,20606602
264,20101816
263,2010018
263,10100610
262,10100612
260,2010190
259,10101201
257,20507403
256,20104606
256,2010277
254,2010042
253,10200614
253,20400802
251,20501413
247,30606002
246,2010135
245,30606705
239,2010051
238,2010205
235,2010248
235,2010001
235,2010301
235,20606601
234,2010216
231,20602405
230,2010020
229,20602602
228,2010035
226,2010342
226,2010202
225,2010211
225,20602603
224,2010249
222,20602103
221,2010026
221,20503402
220,2010052
219,2010045
216,2010303
216,2010010
215,10101301
215,20605301
215,2010021
213,20602104
213,20602404
213,10301101
212,2010331
212,2010287
210,2010043
210,2010182
209,2010004
208,2010025
207,20602403
206,2010213
205,2010345
203,20606605
203,2010224
202,2010034
201,2010003
201,20606604
201,2010225
201,2010194
200,2010048
199,20504901
197,10100605
194,2010278
194,20300701
193,10101202
191,2010002
191,20503401
189,2010036
189,2010337
188,30701902
188,2010009
185,2010047
184,20200905
182,30701903
182,2010184
181,2010040
180,20605101
179,20605402
179,2010183
179,20606606
178,20301815
177,2010309
176,20501809
174,2010340
173,2010019
173,2010274
171,2010134
169,2010017
168,2010124
166,2010327
163,2010046
162,20605202
160,2010125
159,2010311
158,2010268
158,20504201
158,2010163
158,10107802
157,2010031
