2017-05-21 20:40:00-2017-05-21 20:50:00,监测点id
1335,10100404
1311,10100203
1257,10100206
1238,10100406
860,10100408
849,30606706
848,10100405
813,10300202
786,10200104
781,10300201
765,10200103
737,10200102
722,30606707
720,10100403
677,10300207
661,10100204
654,20100301
654,2010131
650,10300504
642,20500304
632,10100407
599,10200903
590,10100205
588,30606704
585,10300212
578,10100211
571,10300505
570,20100306
567,20501404
558,10300503
554,20501405
540,2010138
537,2010054
535,10200901
526,20104403
522,2010364
522,30606708
518,20501408
506,2010302
505,20501402
503,20104605
502,2010325
494,10300506
479,2010319
475,30606710
474,10300213
473,30606703
467,30606702
467,20104401
446,2010044
434,20204001
429,20501406
428,10200904
417,10301101
417,20504202
409,20104607
409,10203801
408,20501411
406,20501407
405,2010137
402,20501409
402,20501803
397,20506502
397,20507302
393,20501811
391,10203802
388,20104402
381,20501807
377,20606504
372,2010289
369,20504602
362,20507304
357,20501403
356,2010320
347,20507303
343,2010363
341,10301102
330,20501412
325,2010290
322,20400804
319,20502003
318,2010123
318,20501805
318,20504601
305,2010288
299,2010135
298,20501413
297,20606503
295,2010326
287,10100606
282,10100604
281,10300602
280,10100603
280,20504604
279,10103501
278,10103502
277,10200614
276,20502004
275,20602101
271,20101813
270,20501410
270,10300601
265,2010336
264,20501802
261,2010250
258,20104404
258,20606603
257,20101816
256,20504603
255,10100610
255,10306101
254,20501804
251,30606705
251,20602102
249,20300615
249,2010198
245,2010248
243,10100609
242,2010335
239,2010381
239,10101001
237,20605302
237,10100612
234,2010342
233,2010073
231,2010249
229,10101004
227,20400801
227,20507301
226,20400803
224,10300607
223,20602603
223,10101201
222,20605301
222,2010205
220,2010017
217,20501809
217,20501810
215,20403602
214,2010199
213,10101003
213,30701903
213,10200613
213,2010216
212,2010278
209,30606709
208,30606002
206,10100605
205,2010042
203,20104606
203,20605402
199,20606602
199,20400806
197,20504901
197,2010277
194,20301815
193,20606604
192,20605002
192,20602602
191,2010382
190,2010190
189,2010287
187,2010020
187,2010194
186,20606601
186,20507402
185,20503401
184,2010025
184,20602404
184,2010026
183,2010043
182,2010341
175,20602104
173,20507403
172,2010019
171,20400802
170,2010021
170,2010045
170,20602403
168,20605101
166,20606606
166,2010030
163,2010048
162,2010211
162,2010345
161,30701902
160,20605001
159,2010009
159,2010141
159,2010183
158,20606605
158,10107802
158,2010047
157,20605202
156,2010018
156,2010182
155,2010036
153,2010051
153,2010040
152,2010046
151,20300701
151,20503402
151,2010338
151,20200905
150,2010303
149,2010004
147,2010213
146,2010003
146,2010035
144,20101817
143,2010185
142,2010002
141,20504702
140,30603601
140,10104301
140,2010039
139,2010331
138,20602406
137,2010311
136,2010010
136,2010337
135,2010309
133,2010202
131,2010217
131,2010328
130,2010072
130,10103901
130,2010184
130,2010327
129,2010038
129,2010041
128,2010214
128,2010163
127,2010346
127,20504204
126,2010220
124,2010273
122,20101812
122,2010052
120,2010306
119,10107801
119,20602201
118,2010156
118,2010005
118,2010114
118,20605102
117,30707901
117,2010034
116,2010062
116,2010274
116,2010027
116,2010351
114,2010340
114,2010031
113,2010165
113,2010195
113,20504201
112,10101302
111,2010353
111,2010064
110,30707902
110,2010260
110,2010357
110,2010358
109,20602103
108,10101202
108,2010308
108,20605401
108,2010224
107,20605201
107,2010166
106,2010063
105,20504205
104,2010061
103,2010134
103,2010124
103,2010119
103,10101301
103,2010191
102,2010268
102,2010125
101,2010305
100,2010304
100,31006901
100,2010276
100,2010154
99,2010200
99,2010024
99,20504701
98,20602405
98,20807202
97,2010259
97,2010267
96,2010282
96,2010269
96,2010167
95,2010281
92,2010122
92,2010118
92,20602106
92,20501901
91,30605901
91,2010149
90,20602601
90,2010354
88,2010210
87,30608001
87,2010209
87,2010192
85,2010225
84,20605502
84,2010179
84,2010140
84,2010219
83,10107701
83,2010121
83,2010001
83,2010151
82,2010178
82,2010221
82,2010275
82,2010203
81,2010028
81,2010374
81,20504501
79,2010201
77,20200906
75,2010037
74,2010050
73,20504802
73,20807201
72,2010270
72,10107702
72,2010330
71,20501808
71,2010347
71,20504801
70,2010078
70,20402801
70,30608002
70,2010193
69,2010144
69,2010188
68,2010129
68,2010189
67,2010117
66,2010329
65,20204101
65,2010120
64,2010077
63,2010258
63,30603301
63,2010074
62,20605501
62,2010265
62,2010349
61,2010350
60,2010130
58,2010126
58,2010218
57,2010071
56,2010257
54,2010339
54,2010127
54,2010324
54,2010177
53,2010082
53,2010029
53,30602505
52,10403701
52,2010128
52,2010049
52,2010375
51,2010266
50,20807602
50,20504902
49,2010296
48,20501701
48,2010279
47,2010113
47,2010143
47,20301814
47,2010295
46,2010116
46,2010176
45,2010323
44,2010294
44,20807502
43,2010239
41,2010243
41,2010379
41,2010083
38,2010378
37,10207101
37,2010173
36,20807501
36,2010145
34,30602506
34,2010084
34,2010172
34,2010081
32,2010245
32,2010146
32,2010280
32,2010060
31,2010059
30,2010286
30,2010377
29,2010014
29,20807601
28,2010207
28,2010285
28,2010240
28,20602701
28,2010174
27,2010368
25,2010070
25,2010175
24,20602301
24,2010115
23,2010284
22,2010380
22,20602105
22,2010229
22,2010079
20,2010369
20,2010069
20,2010242
19,2010015
18,2010164
18,10207102
18,2010080
18,2010283
17,2010016
17,20507401
14,2010187
14,2010228
14,2010231
13,2010169
12,2010241
12,2010058
12,2010262
12,2010170
11,2010261
11,10101002
11,2010013
11,2010057
9,2010236
8,2010186
7,2010237
7,2010373
6,2010111
5,2010233
5,2010376
5,2010230
4,2010234
4,2010232
4,2010235
3,2010227
2,31007001
