2017-05-21 00:10:00-2017-05-21 00:20:00,监测点id
1801,10100203
1409,10100406
1327,10100204
1275,10100206
1272,10100404
1099,10300207
939,20104607
717,10300201
660,10100405
549,2010289
540,10200402
519,10200104
515,10100403
514,10100408
469,10100407
426,20100301
423,10200103
421,20204001
408,10200102
399,20501408
387,10300202
380,20504603
377,10100211
371,2010131
352,10300212
351,20507302
351,2010054
340,20501405
338,10100205
333,20501404
331,10300505
328,10300503
326,2010301
323,2010326
322,20500304
314,10200903
314,10300504
314,10301101
312,20100306
312,20501409
306,2010138
306,2010325
297,2010302
295,20501407
294,20507303
291,20501402
289,20501413
279,20501412
279,30606702
276,20104605
276,10300213
270,20507301
259,20504202
257,20501406
257,10200904
249,20504602
246,20104403
238,20501411
237,20501803
229,10100606
226,20104402
222,20104401
221,2010019
215,20501403
212,20507304
209,10200901
203,2010364
200,2010319
196,2010250
195,2010044
195,10301102
194,10203801
193,30606708
192,10203802
191,20501410
191,20605301
189,10300506
188,2010017
187,10200613
187,2010018
185,10200614
176,10100612
175,2010249
173,20300615
171,10103501
171,20101816
168,2010320
167,10103502
165,20501811
165,20602602
164,20602603
163,20504601
163,2010335
162,2010290
160,20605302
158,2010135
156,2010123
155,10103901
155,20502004
155,10300601
154,2010336
153,2010137
153,10100610
152,20606504
148,20602101
146,10306101
144,20504604
144,20501805
141,10100605
141,10101004
140,20301815
139,30606703
138,20104404
135,10100604
135,2010248
135,20501807
134,20507403
134,10300607
134,10100603
133,2010048
132,20504203
132,2010198
129,20606503
127,2010381
127,10300602
123,20606603
122,20101813
121,20507402
121,2010303
118,10100609
117,2010021
117,2010288
116,2010190
116,10101003
114,2010020
114,20501804
112,2010363
111,2010309
110,20400804
108,20101817
108,20502003
107,20501809
105,20501802
104,2010327
104,2010002
101,10101001
101,20104606
99,2010337
98,2010304
98,2010003
98,2010026
98,20501810
96,20503401
96,2010216
95,20400803
95,20504901
95,2010311
95,2010205
94,2010277
94,30701903
94,10101201
94,2010342
93,2010004
93,30701902
93,20400802
93,20602104
92,30606709
92,2010341
91,20200905
90,20400806
89,20602102
85,20602403
85,2010134
84,20602201
84,2010278
84,2010051
83,2010213
83,2010353
83,20606601
81,20605101
81,2010052
80,2010047
80,30606002
80,20605202
79,2010042
79,2010382
79,20400801
78,2010045
78,2010073
78,2010199
77,2010345
77,2010046
77,2010005
77,2010346
76,20602405
76,2010287
75,20602103
75,10107802
75,20403602
75,2010025
75,2010305
74,2010338
74,20300701
72,2010009
72,30606705
72,20602404
72,30707902
71,2010274
71,20503402
71,2010351
70,2010211
70,20504204
69,2010185
69,20504702
69,10101302
69,20606606
68,2010182
67,10107801
66,20606605
66,20605102
65,2010308
63,2010331
63,2010043
63,2010200
63,20200906
63,2010077
63,2010156
62,10101202
62,2010268
60,2010358
59,20504205
59,20606604
58,20602406
58,2010328
58,2010072
57,20605402
57,20501901
56,2010202
56,2010195
56,20504201
56,2010031
55,2010276
55,20606602
54,20504501
54,2010357
53,30603601
53,2010354
53,2010125
53,2010259
52,2010061
52,2010273
52,2010163
52,20101812
51,20602601
51,2010275
51,2010144
51,2010120
51,2010165
51,2010063
50,2010154
50,2010184
50,10104301
49,20402801
49,2010064
49,2010225
49,2010001
49,20602106
48,2010209
48,20504802
48,31006901
48,2010124
47,2010034
47,2010010
47,2010323
46,2010191
46,2010282
46,2010214
46,2010151
46,2010267
46,2010210
46,10107702
45,2010166
45,2010201
44,20605201
44,2010041
44,2010219
44,2010220
44,2010260
43,2010130
43,2010217
43,2010149
43,2010118
42,2010340
42,20605001
42,2010027
42,2010040
42,10101301
41,2010141
41,30707901
41,2010306
40,2010347
40,2010183
40,2010221
40,2010050
40,30605901
39,20504701
38,2010188
38,20504801
38,2010036
38,2010193
38,2010377
38,2010127
37,2010143
37,2010119
37,20605002
37,2010122
37,2010192
36,2010378
36,2010375
36,2010062
35,2010030
35,20605502
35,2010126
35,2010024
34,2010349
34,2010269
34,2010178
34,2010129
33,10403701
33,2010035
33,20605401
33,2010028
33,2010078
33,2010049
32,20605501
32,20501808
32,2010167
32,2010117
32,2010082
31,20602301
31,2010128
31,20204101
31,2010203
31,2010038
30,2010350
30,2010113
30,2010060
30,20807201
30,2010218
29,20504902
29,2010179
29,2010258
28,2010029
28,2010329
28,2010071
28,2010121
27,2010039
27,2010189
27,2010224
26,2010374
26,2010270
26,10107701
26,20501701
25,2010070
25,2010281
24,2010084
24,2010083
24,2010296
24,2010283
24,2010339
24,2010265
23,10207101
23,2010176
23,30608002
23,30603301
23,2010295
23,2010379
23,2010257
22,2010266
21,20807202
20,2010243
20,2010334
20,2010177
20,2010146
20,2010074
19,2010114
19,30608001
19,2010330
19,2010037
19,2010081
19,2010059
19,2010116
19,2010286
18,2010380
18,2010140
17,2010069
17,20807501
17,20807602
16,20602105
16,2010279
16,2010280
16,2010145
15,2010333
15,2010294
14,2010242
14,2010174
14,2010172
14,20602701
14,2010115
14,2010014
13,2010207
13,2010285
13,2010245
12,20807502
12,20807601
11,2010016
11,2010284
11,2010240
11,2010175
10,2010015
10,10207102
10,2010324
10,2010173
9,2010239
9,2010262
9,2010228
9,20301814
9,2010241
8,20507401
8,2010013
8,2010261
7,2010230
7,2010229
7,2010368
7,2010058
7,2010080
7,2010232
6,2010057
6,2010079
5,2010170
5,2010369
5,30602506
5,2010186
4,2010373
4,2010233
3,2010187
3,30602505
3,2010169
3,2010231
2,2010226
2,2010376
1,10101002
1,2010227
1,2010235
1,20501401
