2017-05-05 20:30:00-2017-05-05 21:00:00,监测点id
5721,10100204
5588,10100406
5266,10100206
5156,10300207
4685,10100205
4557,10300202
4517,2010135
4271,20301815
4086,20101816
3941,10100404
3670,2010382
3455,2010381
3274,10300201
3142,30606706
3097,10200104
3031,10200102
2844,10100403
2803,10100405
2712,10200402
2706,20101817
2636,30606707
2625,20100301
2621,2010131
2477,10200103
2432,10300504
2410,10300212
2402,20500304
2325,2010364
2297,30606702
2293,30606708
2291,20501405
2262,10200903
2240,10300503
2156,20104403
2131,10300505
2129,10100407
2102,20501404
2087,30606704
2082,30606703
2043,20501408
2004,2010054
1999,2010302
1999,20501402
1997,20501411
1993,20104605
1986,2010365
1969,20104402
1959,2010325
1950,20104401
1913,10100211
1888,20100306
1886,10300506
1884,10100408
1881,2010138
1844,10300213
1832,20501409
1783,20501407
1781,2010132
1764,10100605
1685,20501406
1677,10100606
1661,20504602
1643,2010133
1643,20501410
1638,20507303
1628,2010319
1624,20501803
1616,2010044
1614,30606701
1600,30606710
1568,20504202
1560,20501810
1552,10203802
1550,20501811
1537,2010137
1536,2010366
1534,2010289
1472,20602101
1453,10200901
1442,20501403
1432,20507302
1408,20104607
1393,2010288
1369,20501807
1316,20301814
1314,2010290
1306,10203801
1301,2010320
1296,2010326
1292,20501805
1274,20507304
1254,20506502
1251,20504603
1223,20101813
1202,20606603
1200,2010363
1179,20104404
1172,2010250
1166,20504604
1156,2010123
1152,20504601
1133,10306101
1126,10100603
1120,20501802
1114,20501804
1110,2010198
1092,30606705
1087,20502003
1086,10100604
1063,10103502
1026,10300601
1023,20507301
1017,20605301
1016,2010053
1007,10103501
986,10300602
984,20300615
946,20506501
942,2010249
941,20504203
933,20501412
928,10200614
913,10100612
908,2010042
903,10200904
899,2010287
898,10101004
896,2010335
891,10301102
889,2010020
888,2010248
888,2010341
872,10300607
867,20602102
861,20104606
853,2010336
849,10301101
847,2010021
844,2010043
834,20605302
830,10101001
826,20501413
808,2010278
808,2010277
807,20501809
806,10200613
783,20400803
783,2010303
768,10100610
768,20502004
766,2010190
765,20504901
760,20400805
755,2010342
753,20503402
752,10101003
747,2010025
747,20400806
745,20400802
741,2010205
741,20602104
731,10100609
728,30701903
711,20400804
708,2010026
707,2010040
704,2010200
699,30606709
694,20606602
686,20503401
680,2010018
678,30606002
667,20101812
665,2010216
664,2010036
661,2010048
660,2010337
657,20400801
656,2010003
655,2010345
653,2010045
652,2010002
