2017-05-04 19:10:00-2017-05-04 19:20:00,监测点id
1748,10100206
1691,10100406
1654,10100205
1651,10100204
1532,10300207
1202,10200903
1005,30606706
993,10300201
924,30606707
922,10100403
908,10200102
869,2010131
831,20100301
771,10300504
757,30606704
751,2010135
745,20501409
734,20104403
733,10300503
729,20101816
729,20301815
663,10100211
658,30606702
656,2010054
647,20501407
643,30606708
628,20501408
626,10100605
623,20501402
610,20104402
607,10100407
604,10300506
601,30606703
600,20504602
597,10100606
595,20100306
591,20501406
589,20501411
579,20104605
575,2010364
564,20501410
556,10100408
548,20507302
545,20204001
540,2010366
530,20501810
526,20507303
524,20104401
523,30606710
504,2010365
499,2010132
493,2010138
477,20507301
468,2010288
467,30606701
465,20501403
457,2010325
451,20507304
448,20602101
446,20501803
439,2010133
432,20504603
432,2010137
431,10200904
430,20101817
430,2010289
429,2010319
422,20101813
418,2010326
417,20104607
409,20501805
397,10300601
395,2010123
394,20504601
392,10200901
391,10203802
379,20506502
377,2010320
365,20506501
364,20301814
362,10103501
353,2010290
347,2010363
342,20502004
339,2010302
336,20300615
335,10300607
328,2010250
324,2010301
314,20501802
306,20501412
305,20504604
301,2010277
300,20502003
294,10100612
294,2010335
294,20501413
293,20602102
292,2010287
288,10100609
288,20504203
287,20104404
281,10100610
281,2010341
274,2010248
270,10301102
269,30606709
259,2010278
252,20602104
251,2010249
251,20507403
249,20501809
248,10301101
246,20104606
246,2010337
242,2010002
238,2010036
238,2010345
237,2010342
232,2010025
231,2010003
230,20400804
229,20507402
226,2010021
226,2010004
226,10200614
225,20602405
223,2010190
222,20400802
220,2010205
219,2010034
218,2010042
214,10200613
213,2010040
212,20602201
211,2010073
210,2010047
208,2010043
208,2010198
206,2010213
206,20400801
204,2010336
202,20602602
199,20403602
198,20101812
196,2010331
193,20602403
193,20602404
193,2010303
191,2010055
191,2010267
187,2010018
187,2010165
186,2010211
186,2010216
185,2010217
185,2010009
184,2010276
184,2010346
182,2010311
181,20602103
177,20400803
174,2010038
172,2010282
170,2010309
167,2010052
166,2010202
164,20300701
162,2010327
162,20605402
159,20605201
159,2010268
156,20504204
155,10107802
154,2010223
153,20605202
153,10107801
152,2010281
152,2010273
152,2010048
151,2010134
148,20605502
148,2010184
147,2010214
146,2010269
145,10101201
145,2010199
144,2010163
144,2010141
143,2010035
142,2010050
141,2010357
139,2010275
138,2010274
138,30602504
138,2010185
137,2010064
137,2010061
137,2010183
136,20602406
135,2010156
134,2010128
133,2010328
132,20504501
131,2010182
131,10101202
131,2010005
131,2010358
130,2010353
129,2010126
128,2010343
128,2010306
126,2010062
125,2010030
125,2010063
124,2010354
123,2010200
123,2010179
122,20605401
121,2010347
121,10104301
120,10103901
120,20501808
120,2010154
117,2010195
116,10101301
116,2010191
115,20602106
115,2010024
114,2010049
113,10107701
113,2010222
113,2010220
112,2010072
112,20504201
111,2010193
111,20501901
111,2010194
110,2010344
108,2010219
108,2010041
108,2010122
108,2010308
107,30605901
107,2010338
106,2010056
106,2010039
106,2010121
103,2010125
102,2010149
101,2010209
101,10107702
100,20807201
100,20504802
100,2010324
100,2010124
100,2010140
99,2010120
98,20605501
94,2010215
94,2010178
93,2010295
93,2010203
92,20504205
91,2010177
91,2010081
90,20501701
89,20602601
89,2010188
87,2010151
87,2010296
86,20402801
86,2010218
86,2010349
85,2010129
84,2010305
83,2010166
82,2010118
81,2010224
80,2010119
80,2010270
79,20504801
79,2010304
79,2010192
78,2010059
78,2010257
78,2010221
77,2010323
76,2010127
76,2010201
76,30603601
73,20807601
73,2010144
73,2010114
73,2010082
72,2010286
72,2010210
70,2010077
70,10207101
70,2010037
69,2010225
68,2010176
68,2010332
67,2010283
67,2010294
64,2010258
63,2010078
62,2010113
62,2010143
61,2010117
61,2010060
61,2010229
61,2010146
60,2010189
60,2010029
60,20807202
59,2010071
58,2010378
56,30608001
56,2010350
54,2010334
52,20807501
52,30603301
50,2010375
50,20807502
49,2010145
48,2010168
46,2010083
45,2010239
45,20602301
44,2010379
44,20807602
43,2010333
42,2010380
42,2010285
40,2010115
40,2010245
40,2010243
39,2010173
39,2010231
39,2010084
37,2010241
37,30602505
37,2010116
37,20602105
36,2010207
36,2010167
36,2010174
35,2010377
35,30602506
34,2010261
33,2010242
33,2010284
32,2010262
31,2010015
30,2010175
30,2010070
28,2010172
27,2010080
27,2010240
25,20605002
24,10101002
23,2010014
23,2010368
23,10207102
22,2010013
22,2010079
21,20507401
21,2010058
21,2010170
21,2010187
20,2010057
19,2010373
19,20602701
18,2010228
18,2010186
17,2010164
16,2010169
15,2010232
14,2010111
14,2010069
14,2010369
13,20501401
13,2010230
12,2010204
12,2010016
9,2010233
8,2010208
7,2010237
7,2010236
6,2010206
2,31007001
2,2010226
2,2010227
1,2010235
