2017-05-04 14:50:00-2017-05-04 15:00:00,监测点id
1191,30606701
1114,20501405
981,10300505
917,20501810
913,2010131
900,2010364
849,20500304
837,20501807
790,10100211
753,10300504
736,30606702
719,20100306
690,10203801
684,10100403
678,10300503
671,10200102
668,10100405
665,10101001
654,20504202
635,20100301
601,20501408
601,10100603
596,2010366
595,20501409
587,20501406
582,2010044
576,2010133
568,10100407
560,30606703
556,2010054
556,20501407
553,20204001
548,20501805
545,10300506
534,10200402
529,20501404
527,20501403
523,2010365
501,2010132
496,20104403
489,20104605
489,2010053
482,2010288
475,10200903
474,20104607
461,10200103
460,2010138
445,20504603
438,2010302
437,10200901
432,20104402
426,20501411
425,30606708
423,10203802
423,20501402
422,20501803
422,2010289
421,20101813
421,2010325
420,2010320
419,20506502
409,20104401
407,10100605
398,10306101
397,10100606
393,2010042
386,2010041
386,10100408
378,2010043
377,20501809
375,10100205
371,20602101
364,20605302
364,2010040
357,20503402
348,20504601
347,2010363
346,2010290
345,20301814
345,2010039
342,30606706
340,10300207
339,2010036
337,20101812
336,10100612
334,2010123
330,2010319
328,20104404
321,10103501
319,10300602
311,20602406
309,10100204
308,2010303
304,20602102
304,20602405
304,20502004
304,20501410
301,2010137
301,20502003
299,2010287
299,2010277
299,2010038
297,20400801
296,30606002
293,20504203
291,30606707
289,20504602
288,2010021
288,10100604
283,10200904
275,10300201
273,2010047
272,2010341
269,2010250
265,10300601
262,20501808
260,2010278
260,2010205
257,20506501
256,20602404
256,10100609
255,2010213
254,2010002
253,10100206
251,2010052
251,2010003
250,2010200
249,20400803
248,2010004
247,20400802
247,30701903
244,2010048
239,20300615
239,10200613
238,2010249
236,30606709
235,2010198
232,20104606
230,20504604
229,10200614
229,20501802
227,10200104
227,10100610
226,2010248
225,20400804
221,2010342
221,2010335
216,2010273
215,2010214
214,2010267
213,2010073
211,30606705
209,2010050
207,10300212
206,2010025
205,2010055
204,2010211
202,2010163
202,2010281
200,10300607
200,2010345
199,10300213
196,20507402
195,30606710
195,2010202
192,2010184
192,2010331
191,20200905
191,2010327
189,2010182
188,10101201
187,2010199
180,2010056
179,2010276
178,2010190
178,2010346
177,2010127
177,20501811
176,2010072
176,2010185
175,20504205
173,2010336
172,2010274
171,2010275
171,20602403
170,2010304
170,10101301
168,2010129
168,2010009
167,2010166
165,2010337
164,20504501
164,20606603
163,2010128
163,2010156
162,2010282
159,2010037
159,2010217
158,20605202
157,20403602
157,2010311
156,2010268
155,2010183
155,2010223
155,2010195
154,20602602
154,2010125
154,2010165
153,2010220
152,20300701
151,2010194
149,2010222
149,10104301
148,20504201
147,2010124
146,2010062
143,30603601
143,2010338
142,2010061
142,2010126
141,2010216
140,2010178
139,2010215
139,2010343
139,20504204
137,20605201
136,2010201
136,2010328
135,10107801
133,10103502
133,2010029
133,2010035
133,2010120
132,2010024
131,10107802
131,10101202
130,2010219
130,2010353
130,30602504
129,10301102
128,20602103
128,2010358
128,20602104
127,2010309
127,20605402
125,2010269
125,2010030
123,20605401
122,2010203
121,10101003
121,20602106
118,2010034
118,2010221
117,2010179
116,2010046
115,10301101
115,2010063
115,20400806
113,30606704
112,20807201
111,2010270
111,20602201
110,2010122
109,20606601
109,2010306
107,2010357
107,2010141
106,20605002
106,2010118
104,31006901
104,30701902
102,2010149
102,2010064
102,2010224
101,2010121
101,2010347
100,20807202
99,2010210
99,20501901
99,2010119
99,10101004
98,2010193
98,2010192
97,20503401
96,2010188
96,20606602
96,20606604
95,20400805
95,20605502
94,2010005
94,2010191
93,30605901
93,2010209
92,2010154
92,2010305
92,2010117
91,10101302
90,10100406
89,30608001
89,20605101
87,2010349
87,2010177
87,2010308
87,20504901
87,2010151
86,20606606
86,2010176
85,2010258
85,2010026
85,2010257
85,2010344
83,2010225
83,2010354
83,2010060
82,2010045
81,20501413
81,20606605
80,2010059
80,2010286
79,20605301
78,20602603
77,20501412
77,20501701
76,2010114
76,2010332
75,20504802
74,20602601
73,2010296
73,20605102
72,20605501
70,20504801
69,2010350
69,30707901
69,2010078
69,2010082
68,20402801
67,2010218
67,30603301
66,2010017
66,2010113
65,2010285
65,30707902
64,2010031
64,2010283
63,2010081
63,2010374
61,2010019
61,2010294
60,2010144
58,10101002
57,2010116
56,20602105
54,2010295
53,2010071
52,20204101
52,2010083
51,2010145
50,2010010
50,20605001
50,20200906
49,2010143
49,2010173
48,2010284
48,20501804
47,2010027
47,2010333
47,2010324
47,2010207
46,2010146
46,2010020
46,20807601
46,2010334
45,10103901
44,2010077
44,20807501
44,10207101
44,20807602
43,20507401
43,2010189
43,2010379
40,2010262
40,2010323
39,20507303
39,2010375
37,2010074
37,20807502
37,2010115
37,20504902
36,2010242
36,20602301
36,2010239
36,2010028
36,2010245
35,20507304
35,2010001
35,2010243
34,2010084
32,30608002
32,2010380
31,2010174
31,20507301
30,2010378
30,10403701
29,2010228
28,2010172
28,20507302
26,2010229
26,2010080
26,2010175
26,2010261
25,2010230
25,2010135
24,2010369
24,10207102
24,2010079
23,2010240
22,2010231
21,2010187
21,20501401
20,2010241
20,20301815
20,2010013
20,2010069
20,2010070
20,2010049
19,2010016
19,30602506
18,2010368
18,2010111
17,2010208
17,2010373
17,2010057
16,20101816
15,2010169
15,2010058
14,2010014
13,2010164
13,2010167
13,2010377
13,2010015
13,2010204
12,31007001
12,2010170
12,2010206
11,20101817
11,30602505
10,2010018
10,2010236
10,2010186
7,20602701
6,2010233
6,2010235
4,2010376
4,2010232
4,2010237
3,2010227
2,2010234
1,2010226
1,2010168
