2017-05-15 21:20:00-2017-05-15 21:30:00,监测点id
1338,10100203
1337,10100206
1323,10100204
1265,10100406
1263,10300207
1223,10100205
993,10300202
953,10200104
856,10100405
843,10200102
809,10300201
761,10200402
741,20100301
691,10300504
687,10200103
682,30606706
681,20501402
665,20501404
664,20501405
664,20501408
663,10100407
652,20500304
643,20104605
638,10100403
621,2010364
618,10200903
617,2010138
614,10300505
613,10100404
611,10300503
591,30606707
576,2010302
571,2010325
568,10100211
563,10300506
562,20501409
559,2010260
558,20100306
524,10100408
522,30606704
521,20501407
520,30606708
513,10300212
496,20501406
493,20504202
483,20501403
473,10300213
468,2010132
466,20501411
466,2010326
461,30606703
446,20501807
444,2010133
443,2010319
438,30606702
429,10100605
429,2010044
428,20504602
421,20501811
419,2010137
411,20501412
395,10301101
394,2010250
393,2010289
392,10306101
382,10203802
368,20501413
361,10200901
361,2010290
360,20506502
356,20506501
355,10301102
352,10300601
352,10203801
352,20501805
349,20300615
348,2010320
346,10300602
345,20501410
344,20602101
342,20507303
341,20104607
339,20101813
326,10100606
325,20504203
325,10100603
324,20606603
320,20502004
314,20501803
313,20606503
313,10103502
311,30606710
308,20605301
306,2010123
302,2010288
300,20606504
293,2010249
293,20507302
278,10200614
272,2010363
267,30606709
266,10103501
265,10101004
262,10100604
261,20605302
258,20502003
255,2010382
253,10100612
253,2010135
251,2010017
250,20104606
248,20101816
246,20501802
245,10200613
243,20507304
242,2010341
240,20504601
240,2010335
240,2010198
238,2010020
236,2010301
229,30606705
228,2010336
225,2010277
223,20501804
222,20503402
221,20602602
220,20602603
218,2010248
217,2010287
215,10101001
213,2010337
213,2010278
212,30606002
210,30701903
209,20504604
208,10300607
207,2010303
206,2010342
205,20501810
204,20503401
202,10100609
200,10101003
198,20507301
198,20602102
197,2010304
197,2010004
197,2010003
197,2010026
192,2010045
191,20504901
191,2010199
190,2010216
188,20301815
186,2010002
186,20400804
182,20501809
181,2010021
181,2010345
181,10107802
181,2010190
180,10100610
179,20200905
178,2010211
176,20606602
175,2010019
175,2010025
175,2010311
170,10101201
168,20504702
168,20605101
164,2010009
163,2010346
162,30701902
159,20606604
158,20400805
157,2010046
156,2010202
156,20605202
153,20507402
153,20606606
153,2010018
153,2010005
152,10107801
151,2010327
151,20602405
150,2010353
149,2010213
149,2010331
148,2010185
148,20400806
148,2010205
147,2010194
146,20605102
145,20504204
145,20101817
145,20605402
145,20400803
143,2010184
143,20606601
143,2010042
142,2010047
142,20504501
142,20400802
139,2010328
139,2010305
138,2010273
138,20602104
138,2010354
138,2010282
136,20602201
135,2010043
134,2010048
133,2010309
132,2010183
129,2010351
128,20605502
127,2010357
126,2010219
126,10101202
126,20300701
126,30707902
125,2010052
125,2010156
125,2010141
123,2010035
123,10101302
123,2010034
122,20504205
121,20605001
121,2010182
120,2010259
120,2010267
119,20605401
118,2010217
118,30707901
117,20606605
117,2010381
116,2010040
116,2010340
115,2010358
114,20101812
113,10104301
113,20501901
113,2010268
113,2010306
112,2010125
111,2010275
111,2010214
110,2010308
109,20403602
109,2010343
109,2010344
108,2010276
108,10103901
107,2010338
107,20602103
106,10107701
106,2010024
106,2010163
106,2010274
105,2010124
105,2010063
104,2010200
104,2010154
104,2010062
103,20605201
103,2010122
101,30605901
101,2010220
101,2010269
101,10101301
101,2010039
100,2010330
99,2010064
99,2010077
98,2010036
97,2010119
97,2010027
96,2010117
95,20504701
95,2010166
94,2010061
94,2010281
93,2010165
93,2010073
93,2010347
93,20602601
93,20504201
92,20504802
90,2010041
90,20504801
89,2010195
88,2010192
87,2010210
87,2010072
86,2010038
86,2010215
83,2010031
83,2010178
82,2010209
82,2010120
81,2010028
81,2010121
81,2010266
80,2010167
78,2010118
78,2010149
78,2010324
77,2010140
75,20602406
75,2010078
73,2010329
71,10107702
70,20605501
69,2010151
68,30608002
68,2010193
68,2010218
67,2010049
66,2010188
66,2010030
64,20807201
64,2010176
64,2010144
63,2010349
62,2010270
62,31006901
62,2010191
61,2010257
61,2010258
60,2010265
60,2010189
60,20402801
60,2010050
60,10403701
59,2010029
59,2010221
59,2010296
58,2010001
58,20501701
58,2010203
58,2010143
57,20605002
57,2010323
57,2010294
57,2010225
55,2010074
55,2010334
55,2010010
55,2010339
55,2010295
54,2010179
54,2010177
53,2010224
53,20301814
53,2010113
51,2010375
51,2010127
50,2010060
50,30608001
50,2010059
50,30603601
50,2010201
49,2010037
49,20602106
48,2010082
46,30603301
45,2010286
44,30602505
44,20807601
43,2010071
42,10207101
41,2010350
41,2010126
40,2010285
39,20807502
38,20602301
38,20807602
37,2010083
37,2010333
37,2010081
37,20400801
36,2010379
36,2010377
35,2010084
35,20504902
34,2010146
34,20807501
32,2010242
31,2010378
31,2010114
30,2010380
30,2010173
29,20501808
29,2010245
29,2010243
28,2010175
28,2010207
28,2010283
28,2010145
27,2010262
27,2010172
26,2010284
26,2010228
26,2010115
24,2010170
23,2010116
22,2010240
22,20602105
21,2010261
21,2010239
21,30602506
21,10207102
20,2010368
19,2010174
18,2010070
18,2010229
17,20602701
17,2010241
17,2010080
16,2010079
13,2010057
13,2010016
13,2010058
12,2010369
12,2010230
11,2010168
11,2010013
10,2010069
10,2010187
9,20507401
9,2010373
9,2010014
9,2010186
7,2010015
7,2010164
6,2010111
6,2010169
5,2010231
3,2010232
2,2010236
2,2010235
2,2010233
1,2010237
1,2010227
1,2010226
