2017-05-01 06:30:00-2017-05-01 06:40:00,监测点id
353,20507302
331,10200103
311,30606702
301,10100405
296,20500304
292,20507403
291,20507402
291,20507303
280,10200102
274,20507304
272,10200104
269,2010132
267,10100406
258,20507301
257,10200402
255,10100211
255,10300201
253,20100306
248,10300202
233,10300212
232,20501405
217,20104403
215,10100205
199,10100204
197,10203802
196,10300213
190,10100206
189,10100404
185,20104404
183,10300207
183,20501403
181,20104401
178,2010131
176,20501407
175,2010123
172,20400805
172,20501803
171,2010044
171,20204001
171,20504601
167,20501404
166,20501409
165,20400806
164,20501807
164,20104607
163,10203801
156,20501810
155,30606706
155,10100403
150,20501805
149,20104605
147,20104402
146,30606707
143,20100301
136,20602405
133,20301815
131,30606704
128,20605302
127,20502004
127,20501406
127,30606708
126,2010017
125,2010135
113,2010072
110,2010018
110,20502003
110,10306101
107,20101813
107,20501804
104,20605301
103,20602403
103,20101816
101,10300505
101,20501811
100,20504603
100,10103501
98,20301814
98,10300503
96,20602603
95,10103502
95,30606002
94,2010019
93,20501402
93,20602404
93,20504602
92,20501809
88,2010124
88,2010001
87,2010073
85,2010045
84,2010010
84,20606602
84,20503401
83,2010125
82,20606604
82,20104606
79,31006901
78,20606603
76,2010134
76,10300602
74,2010031
74,2010020
73,20602602
73,2010250
72,2010043
72,20504604
71,2010054
71,10101001
70,2010042
69,2010021
69,20602104
69,2010053
68,10100604
68,20504203
67,30606710
65,20606605
64,20501802
64,20400802
62,2010374
59,20504202
59,30606709
59,2010046
58,10101004
58,20606606
57,20400801
56,30606705
56,20101812
54,20503402
53,10100603
53,2010025
52,10101003
52,2010052
50,20300615
49,2010039
49,2010048
49,20602103
49,20200905
48,20602106
47,30701902
47,20504205
46,20606601
46,20101817
46,2010122
45,2010040
44,2010041
43,20504501
43,2010061
43,20504901
42,20605502
42,2010047
41,10100612
40,30602504
40,20605202
39,20602406
39,20200906
38,2010029
37,10107802
37,30707902
37,2010117
37,2010118
37,2010050
37,2010009
36,10207101
36,20300701
35,10107801
35,2010038
34,2010074
34,2010060
34,2010015
33,2010016
33,20504801
32,10101301
32,2010026
32,2010119
32,2010133
32,20605201
31,30701903
31,2010036
31,20605101
30,2010059
30,30707901
30,2010013
29,20504204
29,2010030
29,20504802
29,2010120
28,20605001
28,20402801
27,20807202
27,2010128
26,2010002
25,2010078
24,30603301
24,20204101
23,30608002
23,2010081
22,2010055
22,2010127
22,2010141
22,10107701
21,2010064
21,2010003
21,10107702
21,2010005
21,20501808
21,2010121
20,2010063
20,30608001
20,20807602
20,20605102
20,20807502
19,2010004
19,2010049
18,2010129
18,2010062
18,2010014
18,2010056
18,10101302
17,2010024
17,20605402
17,20605401
17,2010077
17,2010375
16,20602105
16,2010082
16,2010037
15,2010126
15,20504902
15,20605501
15,2010140
14,20807601
14,20507401
14,2010034
13,2010070
13,20501411
13,2010083
12,20807501
12,10403701
12,2010027
11,10207102
10,2010028
10,10104301
10,20501410
9,2010071
8,2010058
8,20605002
8,2010380
7,2010325
7,30602506
7,2010069
7,30602505
7,10200903
7,2010080
7,2010057
7,2010366
6,2010200
6,2010035
6,20501408
5,2010289
5,2010084
5,30606703
5,20506501
5,20606503
5,2010320
4,20403602
4,10200904
4,20506502
4,2010303
4,20400803
4,2010182
4,20400804
4,2010195
4,2010301
4,2010194
3,2010288
3,2010319
3,2010198
3,20501412
3,20501413
3,20606504
3,10300506
3,10301101
3,10100408
3,2010219
3,2010379
3,30603601
2,2010166
2,2010381
2,2010223
2,2010358
2,2010165
2,2010309
2,2010199
2,2010290
2,10200901
2,10301102
2,2010363
2,2010203
2,10100610
2,2010202
2,10100605
2,10300504
2,2010302
2,2010294
2,2010364
2,2010222
2,2010201
2,2010184
2,20602102
2,2010270
2,2010116
2,2010326
2,20602101
2,2010331
2,10100606
2,2010079
1,2010189
1,2010146
1,2010115
1,2010113
1,2010149
1,2010185
1,10100609
1,10100407
1,2010169
1,2010176
1,2010177
1,2010163
1,2010191
1,2010188
1,20602601
1,31007001
1,2010217
1,2010207
1,20807201
1,2010287
1,2010282
1,2010281
1,2010277
1,2010304
1,10200613
1,2010311
1,2010268
1,2010267
1,20501901
1,2010335
1,2010341
1,2010343
1,2010350
1,2010353
1,2010249
1,2010245
1,2010241
1,2010365
1,2010369
1,2010220
1,2010218
1,2010216
1,2010215
1,2010211
1,2010138
