2017-05-20 17:10:00-2017-05-20 17:20:00,监测点id
1677,10300201
1550,10300207
1513,20501803
1439,10100205
1380,10100204
1182,10100404
1151,10200104
1108,2010364
1082,10100403
1071,20504602
1069,10100206
1035,10300202
1029,10100405
1014,10100211
989,2010131
966,10300212
947,10200102
928,10200103
922,30606702
889,20501405
887,2010289
867,20500304
848,10300503
841,20501408
840,10200402
824,10300504
821,10100406
819,30606701
819,10300505
807,2010287
806,20100301
803,2010288
773,2010290
767,20501409
766,10100203
757,2010366
756,10200903
752,30606703
730,30606708
729,20100306
728,20501407
721,20104403
715,20501404
691,10300213
688,10300506
685,10200901
679,2010365
678,20104402
673,2010054
670,2010325
648,20501406
635,20104607
634,2010277
630,20507303
599,2010044
597,20204001
595,20501811
582,2010363
572,20501402
571,2010260
569,30701903
568,20602101
566,2010138
565,20104605
553,20104401
552,10203802
548,20501403
546,20501802
539,20400804
534,2010135
516,2010319
508,20504601
507,20501805
504,2010302
497,10100407
497,20501807
495,20504202
492,20504604
488,20501810
483,10203801
482,2010275
479,2010273
475,10200904
470,2010266
470,20501411
465,2010073
462,2010267
453,30606709
452,10306101
452,20606603
451,10100603
444,20507302
443,2010123
441,20101816
437,20502003
434,20507304
433,2010381
428,10100604
425,10103501
423,20101813
414,20606504
409,10100606
408,20400801
406,20504603
399,20507301
399,10101003
398,20301815
398,30606705
396,10300601
395,2010320
392,10100609
391,20104404
390,20504203
388,20606503
384,10100408
382,2010250
381,20501804
379,20602102
378,10100610
374,2010382
371,20502004
369,20400806
363,10103502
363,10300602
357,10101001
351,2010198
350,10200614
349,20400803
348,20501410
340,10100605
327,2010137
320,20400802
319,10101201
318,20606602
317,2010042
315,20605302
315,10101004
315,20602103
314,20300615
314,20606601
308,20403602
300,2010043
297,20602104
293,2010341
291,2010020
290,2010021
290,2010004
289,2010268
286,2010303
286,10200613
285,10100612
281,20602404
280,2010003
278,20605301
273,2010342
272,2010051
272,2010336
270,30701902
269,2010202
269,20503401
267,2010199
265,2010183
263,20605002
262,2010002
260,20504201
258,20501809
258,2010211
257,2010327
255,2010335
255,10101202
254,2010216
252,20602603
250,20606604
249,2010025
249,2010200
248,2010205
247,2010009
247,2010278
246,2010345
245,2010040
245,20503402
241,30606002
241,20101817
241,20504901
241,20606606
239,20104606
238,30603601
237,2010072
236,2010052
234,2010248
233,2010046
233,2010276
233,20507402
232,20602405
231,2010124
231,20507403
229,2010036
228,2010010
227,2010213
226,2010249
226,20602403
225,20602406
224,2010331
224,20101812
223,2010337
221,2010125
218,2010190
217,2010214
217,2010030
215,20602602
213,2010041
213,2010026
208,2010035
207,20606605
207,2010045
206,20605402
206,20504702
205,2010048
205,20200905
204,2010182
204,2010282
204,2010195
203,10301101
199,2010001
199,20605101
196,2010031
195,2010311
194,2010163
192,2010217
191,2010039
189,10101302
189,2010346
188,2010047
188,2010156
188,2010338
188,2010184
186,20605201
186,20300701
185,2010185
184,20602201
182,2010328
181,2010274
180,20602106
180,20605001
180,2010019
180,2010304
179,2010194
179,10301102
179,2010005
178,2010017
176,2010340
176,20501901
175,20504501
174,20605202
174,10107802
174,2010309
174,2010024
172,30707901
172,2010259
171,2010034
171,20504204
170,20501412
170,20605401
169,31006901
169,10101301
169,2010225
166,2010056
166,30707902
165,2010305
164,2010306
163,2010128
161,2010038
160,2010062
159,2010165
157,2010050
157,20501413
157,2010055
156,30603301
155,2010027
155,2010126
155,2010221
154,2010114
154,2010220
153,20605102
153,2010353
153,20504701
151,2010281
151,2010134
151,2010357
151,2010018
151,2010219
149,2010063
147,2010339
146,2010061
144,2010224
144,2010203
144,2010141
143,20807201
141,20200906
141,2010178
140,2010358
139,10107801
138,2010351
136,2010029
133,2010191
132,2010064
127,2010179
127,2010329
126,2010151
126,2010120
125,10300607
125,2010129
125,2010201
125,20605502
125,2010166
123,30602505
123,2010347
122,2010210
120,2010354
120,10104301
120,2010209
118,2010308
117,2010330
117,20501808
116,2010192
116,20504205
115,2010122
115,2010265
115,2010049
114,20807202
114,2010193
112,2010127
110,10107701
106,30608002
106,2010243
104,2010117
104,30605901
104,2010121
104,2010119
101,2010326
101,20204101
100,2010028
98,2010118
98,2010116
98,2010177
98,2010037
95,2010115
95,2010296
94,20602601
93,2010149
92,20501701
91,10403701
90,2010113
90,20504801
90,2010140
89,20301814
87,30608001
87,20605501
86,2010324
84,2010176
84,10107702
83,2010239
82,2010082
79,2010188
79,2010059
79,2010130
78,2010144
78,2010074
77,2010258
77,2010374
75,2010060
75,2010218
72,2010285
72,2010242
72,2010070
72,10103901
71,2010189
71,20504902
70,2010349
69,2010081
69,20402801
67,2010286
67,2010078
67,20807502
67,2010257
66,2010294
65,10207101
65,20504802
63,30602506
63,2010071
63,2010077
62,2010334
62,2010015
61,2010143
61,2010014
60,2010295
57,20602301
57,2010333
56,2010283
55,2010013
54,20807601
53,2010350
53,20807602
53,2010145
50,2010323
48,2010207
48,2010229
48,20602105
47,2010154
44,2010083
44,2010146
44,2010379
43,2010174
41,2010284
41,2010016
41,2010172
39,2010378
38,2010261
37,2010084
37,2010245
36,10207102
36,20807501
34,2010380
34,2010262
33,2010175
32,10101002
31,2010377
30,2010167
30,2010173
29,2010231
