2017-05-02 10:10:00-2017-05-02 10:20:00,监测点id
1175,10200103
1080,10200104
1074,10300202
1005,10100405
876,10200102
872,20500304
871,10200402
859,20100306
810,20100301
799,20501405
763,20501404
741,10300503
741,10300505
719,20501409
686,20501811
677,20501407
665,2010044
661,20501406
634,10203801
617,10203802
604,2010132
598,20104605
588,10300212
580,10306101
572,20104607
569,20501807
543,20501402
528,20501403
480,2010123
473,2010053
453,10100603
430,20501810
430,2010250
427,2010133
425,10100604
416,20400806
411,10103502
408,20504203
405,10300602
405,20504202
404,10100211
402,20606603
398,20502004
393,20400805
386,10300213
379,20502003
376,10103501
370,10101001
347,20605302
345,2010131
338,10101003
332,30606705
321,20606602
316,10101004
301,10100612
301,2010026
299,20300615
298,20507403
296,2010072
294,2010045
292,20104606
290,20501809
286,20507402
283,20606601
279,20602405
278,2010054
276,20606604
270,20503402
269,2010124
265,2010125
261,20606605
257,20104403
253,30701902
244,2010025
241,20503401
236,30701903
236,20504603
232,2010009
231,2010031
231,20300701
231,30606002
229,20606606
228,20504901
227,2010003
227,2010002
224,30606702
221,20602603
221,2010043
220,20605301
220,2010004
212,2010046
211,20605202
206,20605101
201,2010020
199,20602406
197,10101302
196,20602602
195,2010034
194,2010036
191,10107802
191,2010019
187,31006901
186,20501808
185,20605102
183,10100403
182,2010029
181,2010047
180,2010042
179,20501805
176,10101301
176,2010055
175,10107801
175,2010052
172,2010035
170,2010001
170,30606708
168,20504601
166,20104401
165,2010134
164,20504205
163,2010050
162,30602504
161,2010062
161,20200905
156,20504204
154,2010040
153,20605001
153,20400801
152,2010048
151,2010041
150,2010017
147,30707902
146,2010063
145,2010056
143,2010061
143,2010024
142,30707901
142,2010027
135,2010030
135,20504501
135,10107701
134,30606706
134,20605402
132,2010120
132,2010064
132,2010010
130,2010038
129,20101813
128,20605201
128,20200906
127,20605502
126,20605401
125,20501803
124,2010005
121,2010021
120,2010141
118,10100204
118,20104402
118,2010119
117,2010039
116,20101812
115,2010121
113,20104404
113,2010374
112,30608001
108,2010037
108,20400802
107,20605002
106,20501804
105,10100205
105,20504602
104,30606709
104,20301814
102,10100206
102,2010122
101,30606707
97,2010140
96,2010118
95,20605501
94,2010117
93,30606704
92,20602403
91,2010074
87,2010028
86,10300201
86,20504802
86,20501802
85,2010127
81,20602404
81,2010126
80,20807202
80,2010060
79,2010059
79,10107702
77,10403701
75,30608002
74,10100404
74,2010129
73,30606710
72,2010082
71,20504801
70,2010071
69,2010081
69,10104301
65,2010375
64,2010128
63,2010073
61,20204101
61,20807601
60,2010078
57,20507401
55,2010077
52,20602104
52,20807502
51,10300207
50,20807602
50,20807501
50,10207101
49,20402801
49,2010084
48,2010083
47,2010379
43,10100406
41,2010380
41,20602103
41,20602106
41,2010013
40,20602105
40,20504604
39,20504902
37,2010079
32,2010069
32,2010016
31,2010366
31,2010080
30,10207102
24,31007001
24,2010364
23,2010302
23,2010057
23,2010015
23,2010070
23,2010058
20,2010288
20,2010014
18,20204001
18,20507302
16,30606703
16,20501408
16,10200903
15,10100407
15,10200901
15,10200904
14,2010325
14,2010290
13,2010365
13,2010301
13,20501411
13,10300504
13,2010289
12,20507303
12,2010138
12,2010320
12,30606701
11,10100606
11,20507304
11,20507301
11,10300506
10,20506502
10,2010363
10,2010345
10,30602506
9,20101816
9,20501401
9,2010278
8,20501410
8,20400803
8,10100408
8,2010049
8,2010336
8,2010286
8,2010287
8,2010135
8,2010249
8,2010382
8,2010277
8,2010195
8,2010137
7,2010199
7,10101201
7,2010358
7,30605901
7,2010198
7,2010304
7,2010342
7,2010213
7,2010319
6,20504201
6,2010165
6,2010224
6,2010222
6,2010327
6,20602601
6,2010346
6,2010179
6,20400804
6,2010331
5,10100605
5,30603301
5,10200614
5,2010163
5,2010203
5,2010190
5,2010335
5,20506501
5,2010184
5,2010221
5,2010151
5,20602102
5,30602505
5,10100610
5,2010281
5,2010303
5,10100609
4,2010215
4,2010269
4,2010192
4,2010296
4,2010275
4,2010270
4,2010201
4,2010267
4,2010214
4,2010205
4,2010347
4,2010257
4,2010354
4,20301815
4,2010200
4,10300601
4,2010306
4,20602101
4,2010113
4,2010294
4,2010341
3,2010248
3,20403602
3,10200613
3,2010217
3,2010219
3,2010185
3,2010357
3,2010202
3,20501413
3,2010166
3,2010309
3,20501412
3,2010381
3,2010268
3,2010305
3,10301102
3,2010211
3,2010149
3,2010337
3,2010209
3,2010338
3,2010182
3,2010349
2,2010144
2,20501701
2,2010239
2,2010176
2,2010344
2,2010243
2,2010115
2,2010178
2,2010191
2,10101202
2,2010193
2,2010308
2,20101817
2,2010343
2,2010276
2,2010189
2,2010218
2,20807201
2,2010353
2,2010285
2,2010156
2,2010188
2,2010334
2,10300607
2,2010175
2,2010220
2,2010328
2,30603601
1,2010295
1,2010368
1,2010116
1,2010282
1,2010283
1,10301101
1,2010262
1,2010210
1,2010258
1,2010311
1,2010177
1,2010378
1,2010168
1,2010242
1,2010233
1,2010231
1,2010225
1,2010145
1,2010223
1,2010216
1,2010154
1,2010018
1,2010350
1,2010194
