2017-05-16 11:00:00-2017-05-16 11:10:00,监测点id
1145,30606701
1039,2010364
1001,10200104
961,10200103
935,10300202
845,10200402
839,10100405
822,10200102
749,10300504
741,2010325
699,20500304
672,20501405
666,20501408
663,10300503
659,2010133
648,10300213
647,20501404
635,10300505
631,20100301
615,20100306
614,20501407
608,10200903
608,20501409
606,30606703
598,20501406
590,20104605
578,10100407
561,2010132
558,10300506
556,2010260
551,20501811
546,30606708
534,2010137
533,2010302
521,2010138
510,2010288
491,2010044
481,2010301
481,20501807
479,10100604
477,20501402
471,20104607
469,10203802
464,10203801
462,20501403
443,2010289
433,2010290
421,2010198
419,20501411
414,2010320
414,2010319
413,10306101
406,10100603
405,10300212
403,10100606
401,20504202
395,20501410
392,10200901
390,10100605
389,10300607
386,2010123
359,20602101
359,20502004
357,20606603
355,20606504
354,10300602
350,2010363
347,10103501
340,10100408
335,2010382
333,10103502
327,2010303
325,10101003
322,20606503
321,20502003
321,2010336
318,2010277
316,10101001
314,10100612
309,2010199
304,2010287
304,2010341
302,30606705
300,2010250
298,30606709
289,2010326
284,20504203
281,2010278
279,20602102
279,10100610
278,20506501
278,10101004
277,20605302
275,10100609
274,2010249
265,2010327
264,10200614
257,30701903
250,20300615
247,30701902
247,2010205
246,20606602
241,20507402
237,20606601
234,2010004
234,10200613
232,20400803
232,20400806
231,2010045
231,2010002
229,2010335
227,2010003
225,20503402
223,2010268
221,2010248
220,20400805
218,2010216
216,2010200
215,20606604
215,2010342
214,2010213
210,20104606
210,10300601
208,2010381
208,20605301
206,10101201
201,2010273
201,30606002
200,2010267
199,2010345
198,2010211
197,10101202
195,20606605
194,2010182
193,2010046
192,2010202
192,20503401
191,2010020
190,2010339
189,2010009
188,2010274
188,20606606
186,2010025
184,2010026
184,2010072
184,20605102
184,2010259
182,2010311
182,2010331
182,20504901
181,20400804
179,2010214
177,2010184
177,10101302
177,2010282
175,2010328
172,2010276
170,2010019
169,30603601
169,2010281
169,2010195
168,2010034
167,20605101
166,2010185
166,20200905
166,20300701
165,10107802
162,10101301
162,2010031
160,2010165
159,2010217
157,2010163
155,2010304
155,2010346
155,2010338
154,20602603
154,2010190
154,2010309
153,2010183
151,20506502
150,2010062
150,2010035
149,20504702
145,20504701
144,30707902
144,2010017
142,2010353
142,2010156
140,30707901
139,2010124
139,20605202
139,2010305
138,20602201
138,2010154
138,2010275
138,20602602
137,2010063
134,2010029
134,2010125
133,2010024
133,20403602
132,2010269
132,20504204
131,2010343
129,2010340
129,2010337
129,2010221
129,2010166
129,31006901
128,20504501
128,20504205
126,10107801
126,2010351
125,20605401
125,2010178
124,2010194
122,2010215
121,2010357
120,10301102
120,2010064
120,10301101
120,20501412
119,2010149
118,2010203
117,2010354
116,2010358
116,20605502
116,2010347
116,2010027
115,2010061
115,20504201
114,20605402
112,2010306
111,20605001
111,20807201
110,2010330
110,2010193
110,2010308
110,2010120
109,2010210
108,2010179
108,2010001
107,20605201
107,2010192
106,2010191
106,2010266
106,20501901
105,2010344
104,2010201
104,20602405
103,2010329
102,2010121
102,2010122
101,2010270
101,2010219
100,2010151
100,2010005
100,2010220
98,20602601
98,2010118
96,2010030
95,30605901
95,2010119
94,20501809
93,2010324
93,2010176
92,20605501
92,2010141
91,2010265
91,2010188
90,2010113
88,20501805
88,20605002
88,2010286
87,20501810
87,20501413
87,2010117
87,2010177
86,2010225
85,2010374
82,2010224
82,2010010
82,20504603
81,10403701
80,20402801
80,2010209
79,2010028
78,2010349
77,30606702
77,30608001
76,2010258
75,2010140
75,20504801
73,2010296
72,20501701
72,2010333
71,2010060
71,2010052
71,2010350
70,2010283
69,2010059
68,2010144
66,2010218
65,2010285
65,20504802
64,2010081
64,10104301
64,2010189
62,2010167
62,2010323
62,30608002
61,2010257
61,2010082
60,20501808
59,20204101
58,2010078
58,20504902
56,10100211
55,2010050
54,2010295
54,2010334
54,2010077
53,2010074
51,2010071
51,2010043
51,20602406
50,2010143
49,10107702
47,10103901
47,2010084
46,2010294
46,20807601
46,2010262
45,2010083
45,20807502
44,20101812
44,2010207
43,2010047
43,2010037
42,2010284
41,2010145
40,2010040
40,20807501
40,2010146
40,2010375
40,10100403
39,2010042
39,2010239
39,2010114
38,20400802
38,20504601
38,2010036
37,2010115
36,2010048
36,2010175
36,30606706
35,2010039
35,2010079
35,10207101
35,2010245
35,20807602
34,2010116
34,2010038
34,20101813
34,2010041
33,2010242
32,2010173
32,2010131
32,2010129
32,2010243
30,2010379
29,2010013
29,2010368
29,20602301
28,20501802
27,10100205
27,2010369
26,30606710
26,2010229
26,2010380
25,2010228
25,2010172
25,2010174
25,2010080
25,10100204
25,30606707
24,10300201
24,2010378
23,2010240
23,2010377
23,2010069
22,2010070
22,2010021
21,2010057
21,2010058
21,2010261
20,20104403
20,2010187
20,2010016
20,2010164
19,2010231
19,20504602
19,2010170
19,20400801
18,2010014
18,2010241
18,2010230
17,10207102
17,20507401
17,20602104
17,20504604
16,2010127
16,30606704
15,2010128
15,20602106
13,2010111
13,20602701
13,20602105
13,2010186
13,10100206
12,20501803
12,2010169
12,20602103
11,10100404
11,2010126
11,2010015
10,2010373
10,2010073
10,10100406
9,20104404
9,2010232
9,2010237
8,20104402
8,20104401
7,30602506
7,10100203
6,20807202
6,20602404
6,20301814
6,2010236
5,10300207
5,2010130
5,2010234
4,20602403
3,2010227
3,20501401
3,2010376
3,2010226
3,31007001
3,2010233
3,20507301
3,20301815
2,2010049
2,2010235
2,30603301
1,20101817
1,2010135
1,2010018
1,20507304
