2017-05-16 09:20:00-2017-05-16 09:30:00,监测点id
1264,10200103
1226,2010364
1224,10300202
1220,10100405
1144,10200104
1128,10300504
1079,10300503
1079,20500304
1019,10300505
994,10200402
994,20100306
976,20501404
972,10300506
938,20501405
934,20501409
927,2010325
882,20501407
879,20501408
866,10200102
866,10300213
849,20100301
843,2010133
813,30606708
805,2010288
798,20501406
798,2010301
798,30606703
768,10200901
766,20501811
738,2010132
733,10300602
722,20501807
712,10306101
702,20501403
697,20104605
685,20104607
685,2010260
669,10100407
665,2010302
661,2010138
658,10100211
655,20504203
644,10200903
633,2010044
622,10100604
619,2010320
616,10203801
609,2010290
596,30606702
578,20602104
576,2010289
573,20506502
566,10300212
565,10100606
563,2010123
554,10100605
552,20501402
533,2010319
524,10100603
520,20606504
518,10103502
512,2010036
511,20501809
509,2010137
505,2010198
500,10203802
496,2010363
494,2010381
487,10103501
483,20502004
483,20602103
479,20605002
478,20602106
472,20606503
472,20501411
470,20501810
469,20602101
467,10100408
457,20502003
456,20606603
455,20501805
455,20504202
454,20506501
451,2010382
447,20501410
445,2010287
435,2010336
432,2010125
428,20602102
425,2010124
423,10100610
421,30606706
420,20605302
418,10100612
417,10101001
412,2010043
410,10100609
408,20602405
404,30606709
396,2010341
392,30606705
383,20606602
381,10101003
380,2010041
376,30606707
370,20503401
368,2010199
365,2010278
359,20606604
354,20300615
350,10100403
345,2010249
342,10300601
339,2010045
339,2010277
338,2010042
333,2010303
333,2010040
331,2010335
330,20104606
325,2010216
324,20400806
324,2010342
324,2010200
324,30701902
323,2010004
322,20606601
322,2010338
317,2010327
317,20400803
314,10200613
314,2010003
312,20400805
310,20602406
309,2010002
307,20606605
306,20101812
305,20504603
304,20504901
289,2010025
286,20605301
284,20507304
283,2010211
283,30701903
283,2010205
281,20501803
280,10101004
280,2010009
279,20507402
274,2010214
273,2010038
271,2010037
270,2010331
269,20503402
269,2010250
263,2010052
262,10200614
260,2010213
258,20504601
256,30603301
255,2010274
255,2010267
253,2010021
252,2010273
252,10107801
250,2010182
250,2010019
249,30606710
249,2010039
249,2010248
248,30606704
242,10101202
242,2010190
241,2010345
241,2010026
240,10101301
240,2010346
239,2010047
239,20602603
238,30606002
235,2010072
234,10101201
233,2010281
233,20400804
231,2010050
229,20606606
229,2010259
225,2010339
224,2010202
221,10100205
221,2010276
221,20605202
221,2010046
221,20400802
218,20504702
215,2010035
215,10107701
213,20300701
210,20501802
208,2010217
206,10107802
205,2010020
204,20605101
204,2010195
203,20504701
203,2010328
202,2010034
201,2010166
201,20605401
200,20605201
200,20507302
199,2010275
199,2010031
197,2010343
197,2010061
196,2010183
195,2010048
194,10300201
194,2010221
193,20504201
192,2010358
192,2010156
192,2010163
191,20602602
191,2010201
190,2010357
190,2010062
189,20504604
189,2010269
189,20504205
188,20605102
188,2010165
186,2010337
185,2010340
185,2010353
184,2010268
184,2010027
182,20101813
181,2010309
181,30603601
181,20200905
181,2010154
180,20504501
180,2010311
179,2010282
179,10301102
178,2010185
178,20403602
177,10104301
177,2010215
176,2010128
176,2010184
176,2010024
176,20605502
175,2010178
175,2010129
175,20501901
174,20504204
174,2010374
173,10101302
171,2010017
171,2010351
168,20605001
166,10301101
163,2010029
162,2010018
161,2010063
159,10100204
158,2010330
157,20807201
155,20501412
155,2010191
154,10100206
152,2010305
152,10100404
152,20504602
152,2010179
152,2010127
151,2010120
148,2010144
146,2010119
146,2010329
144,20301814
144,2010304
143,2010266
142,2010270
142,2010225
141,31006901
140,2010209
140,2010141
139,20605501
138,2010074
137,20501808
137,2010001
137,2010064
136,20605402
136,2010219
136,20501413
135,2010149
132,2010344
131,2010354
131,2010073
130,2010306
129,2010192
129,2010194
129,2010210
129,20602601
129,2010296
128,2010122
126,2010347
125,20504801
124,2010126
123,2010118
122,20501701
120,2010176
119,2010005
118,10300207
118,30608001
117,2010121
117,10100203
116,10100406
115,2010193
113,2010151
113,2010203
113,2010028
112,2010265
112,2010220
111,30605901
110,2010117
110,2010030
110,2010308
109,2010218
107,2010140
106,2010286
105,20504802
102,10403701
101,20507301
101,2010177
100,2010257
99,20402801
99,2010324
99,2010258
97,20602201
96,2010349
94,2010188
94,2010350
93,10107702
93,2010010
93,2010189
92,2010326
90,10103901
90,2010082
88,2010113
87,2010078
87,10207101
85,30608002
85,2010323
84,2010060
82,2010285
82,2010167
81,2010294
80,2010224
79,2010333
78,2010059
78,2010295
74,2010283
73,30602506
72,20501804
72,2010114
71,20602301
70,20602105
69,2010081
68,2010146
67,20507303
67,20400801
66,2010077
66,2010262
65,20504902
64,2010334
62,20807602
61,2010379
60,2010284
58,2010071
56,20204101
55,2010083
54,20807502
51,2010115
50,20507401
50,2010207
50,2010145
48,20807601
48,2010084
47,20807501
47,2010245
47,2010143
44,2010173
42,2010239
42,10207102
40,2010368
39,2010175
38,2010172
38,2010242
37,2010049
37,2010116
37,2010228
36,2010135
36,2010174
34,2010057
33,2010079
33,2010058
32,2010243
30,2010080
30,2010169
30,20301815
29,10300607
26,20101816
26,2010380
26,2010230
26,2010261
26,2010375
25,2010070
24,2010164
24,2010069
23,2010369
23,20602701
22,2010229
21,30602505
20,2010187
20,2010378
20,2010240
20,2010013
19,2010170
18,2010186
18,2010241
17,2010231
16,2010015
16,2010376
14,2010111
12,2010377
11,2010373
11,2010016
11,20101817
10,2010234
9,2010014
9,2010233
8,20501401
8,2010237
7,31007001
6,2010236
4,2010232
3,2010227
3,2010235
1,2010168
1,2010226
