2017-05-04 08:30:00-2017-05-04 09:00:00,监测点id
6492,10300201
3842,10100406
3755,10300503
3341,10100204
3292,10100206
3149,10100205
2986,10100211
2674,10200102
2501,30606702
2453,10300207
2363,20100301
2215,30606706
2197,30606708
2097,20100306
2079,20104605
2010,30606707
1956,20104607
1875,20204001
1870,10203802
1866,20104403
1801,20504604
1764,20501403
1749,20501407
1732,20104401
1689,30606704
1656,10103501
1640,20301814
1633,20501406
1631,20501805
1629,2010123
1621,2010132
1589,20504602
1570,2010125
1523,20104402
1519,20501803
1516,2010124
1457,2010054
1457,20501402
1437,20507303
1428,20504601
1402,30606709
1392,20602103
1387,20301815
1366,30606710
1338,10100612
1313,20507304
1299,2010003
1297,2010002
1293,2010004
1201,20502004
1193,10100403
1190,20507302
1183,20501409
1154,20400802
1149,20101812
1144,2010135
1139,2010052
1124,20104404
1122,20507301
1083,20501804
997,20300615
935,2010009
908,2010131
891,20501810
880,20101817
878,20504603
845,20602405
826,2010025
826,20504203
801,20104606
801,2010250
799,2010072
795,2010047
789,20300701
787,20602404
782,10101301
766,20400801
760,20501802
754,2010018
741,20602104
727,20605202
726,2010039
700,10107801
690,2010034
688,20507402
686,2010036
670,2010050
644,20602403
627,2010041
597,2010021
583,2010048
566,20605201
558,20605401
557,10100404
556,2010062
556,20502003
551,2010063
550,2010035
548,20602602
533,10107802
512,20605402
497,2010061
495,20501809
495,20507403
491,20602406
487,20605502
481,2010073
473,2010127
471,2010374
464,2010141
447,30602504
444,2010064
441,20602106
440,2010129
434,2010133
432,20807202
425,20605501
420,2010029
416,20402801
408,2010056
397,2010119
388,2010049
383,2010120
372,2010121
363,2010122
356,30603301
352,2010055
343,2010037
340,2010118
338,2010126
331,2010005
330,20504801
314,2010117
304,20501808
301,20504501
298,20504205
282,30608001
281,10207101
278,2010071
277,2010128
272,2010082
266,30602505
253,2010059
251,2010060
242,20504204
242,2010081
241,20807602
241,20605002
239,2010024
236,2010042
223,2010030
220,2010043
211,20807502
209,2010134
206,20504802
205,2010040
201,2010379
181,2010083
177,2010078
173,2010077
171,20204101
168,20807501
160,10104301
156,20807601
152,2010038
151,2010084
129,10107701
127,2010380
122,10207102
112,20602105
102,2010079
101,2010013
97,2010375
92,2010080
87,10107702
86,10300504
81,30602506
68,2010070
67,2010057
66,2010058
53,2010069
50,10300506
49,20501401
48,2010364
47,30606703
45,10200901
43,10100407
42,10100606
41,2010365
40,2010015
40,30606701
39,10200903
39,2010014
39,2010016
39,10100605
39,2010138
38,2010288
35,2010290
33,2010325
32,20602102
32,20507401
29,2010137
29,20400803
28,20501412
27,10100408
27,20602101
26,2010320
26,2010200
25,10300607
24,20506502
23,2010198
23,10200613
22,2010211
22,2010335
22,2010205
22,2010289
22,2010338
22,2010190
20,2010249
20,10100609
20,2010166
19,20501408
19,2010213
19,2010341
19,20501413
19,2010331
19,2010366
18,2010214
18,2010342
18,2010357
17,2010363
17,10301102
17,2010183
17,2010278
16,2010184
16,2010221
16,2010182
16,2010319
15,2010219
15,2010195
15,2010302
14,2010199
14,10101202
14,10301101
14,10300601
14,31007001
14,2010309
14,2010223
14,2010270
13,20506501
13,30603601
13,2010303
13,2010382
13,10200614
13,2010336
12,2010358
12,2010353
12,2010273
12,2010154
12,10200904
11,20807201
11,20403602
11,2010337
11,2010275
11,2010343
10,2010189
10,2010287
10,2010381
10,2010215
10,2010311
10,2010193
9,10101201
9,30605901
9,2010349
9,20504201
9,2010225
9,20501411
9,2010218
9,2010185
9,2010202
8,2010163
8,20602601
8,2010268
8,2010269
8,2010274
8,2010277
8,2010179
8,2010296
8,2010222
8,10100610
8,2010258
8,2010354
8,2010192
8,2010149
8,20501701
8,2010248
7,2010220
7,2010328
7,2010301
7,2010209
7,2010346
7,20400804
7,20602201
7,2010216
7,2010144
7,2010178
7,2010191
7,2010165
6,2010305
6,2010188
6,2010114
6,2010276
6,2010308
6,2010281
6,2010177
6,2010345
6,2010304
6,2010217
6,2010210
5,2010327
5,2010326
5,2010332
5,2010333
5,2010267
5,2010175
5,2010257
5,2010344
5,2010176
5,2010347
5,2010350
5,2010203
5,2010201
5,2010156
5,20501410
4,2010167
4,2010240
4,2010294
4,2010282
4,20501901
4,2010228
4,2010286
4,10103901
4,2010168
4,2010334
4,2010368
4,2010170
3,2010169
3,10101002
3,2010151
3,2010146
3,2010174
3,2010245
3,2010295
3,2010284
3,2010229
3,2010262
3,2010116
3,2010115
3,2010194
3,2010285
3,2010207
2,20602301
2,20602701
2,2010239
2,2010224
2,2010187
2,2010231
2,2010234
2,2010369
2,2010237
2,2010172
2,2010186
2,2010306
2,2010242
2,2010323
2,2010145
2,2010283
2,2010113
1,2010261
1,2010208
1,2010324
1,2010206
1,2010241
1,2010230
1,2010232
1,2010243
1,2010378
1,2010235
1,2010204
