2017-05-04 00:00:00-2017-05-04 00:30:00,监测点id
4252,10100406
3813,10300207
2245,30606706
1902,30606707
1711,30606704
1687,10300201
1371,20204001
1321,10100403
1226,30606702
1195,10200102
1193,20507302
1184,20100301
1165,20507303
1112,10100204
1073,30606710
1027,10100211
997,10100404
973,10100206
967,20100306
941,20501402
936,20501409
935,2010131
870,20501407
838,10300503
829,20507301
807,20501803
806,20104403
776,20104605
755,20501403
733,2010054
719,20501406
715,20104401
675,20507304
663,10100205
658,20504602
656,2010132
596,20104402
572,30606708
571,2010133
553,2010250
550,20301815
546,2010135
542,20300615
514,10203802
486,20104607
474,20101816
472,20507403
472,2010018
464,20501810
460,20507402
455,20504601
448,10100612
447,2010123
440,10103501
426,20104404
426,20602602
405,20502004
386,20501802
379,20504603
364,20501805
363,20504203
359,20504604
327,20501804
319,20602405
313,20104606
305,20101813
300,20501809
300,30606709
298,2010042
292,2010134
284,20502003
277,2010021
276,2010043
271,20602403
263,20301814
243,20602406
243,10107802
240,20101817
232,2010048
232,20602104
232,20602404
224,2010025
222,20605202
220,2010052
210,20400802
209,20504205
204,2010047
204,20504204
192,20300701
190,2010009
188,2010003
187,2010002
187,20400801
183,2010125
181,2010004
176,2010040
175,20504501
174,2010141
173,2010124
169,10107801
165,2010073
160,2010036
158,2010055
157,2010005
154,30602504
153,20602103
151,2010072
149,2010118
147,20605201
146,2010064
143,20101812
142,2010035
139,10101301
138,2010063
137,20504801
135,2010062
134,20204101
133,2010375
130,20501808
130,2010061
126,2010120
125,20504802
122,2010034
119,2010038
118,2010050
116,20605501
114,10107702
113,20605502
113,20402801
111,2010056
111,2010024
111,2010119
110,20807202
109,2010122
107,10107701
107,20605401
107,2010039
105,30608001
104,2010041
103,2010117
102,2010077
101,20605402
99,20602106
99,2010030
98,2010126
92,2010121
89,2010374
89,20807601
87,2010127
87,2010129
79,2010029
79,10207101
77,10104301
76,2010082
76,2010078
76,2010071
74,30603301
74,2010060
72,2010128
71,2010049
61,2010059
57,2010083
56,2010081
52,2010084
46,30602505
44,2010037
43,10207102
38,20807501
35,20602105
34,2010070
34,20807602
33,20807502
28,10100407
28,20507401
27,10100408
25,2010379
25,2010015
24,2010069
23,10300504
23,2010057
23,20501401
21,20501408
20,2010079
20,2010080
20,2010058
20,2010013
20,20605002
18,20501412
17,10200903
17,2010380
17,2010325
16,2010016
16,20501410
16,2010138
15,2010365
15,10301102
15,2010249
15,2010014
14,10200904
14,10200901
14,30602506
13,10300506
13,10100606
12,2010183
12,2010137
11,20501413
11,2010366
11,10103901
11,2010319
11,2010289
10,2010336
10,2010290
10,10100605
10,2010326
9,2010320
9,20602101
9,2010140
9,2010335
9,20506501
9,10200614
9,30606703
9,2010277
9,20501411
9,2010302
9,2010194
8,2010331
8,2010248
8,2010301
8,2010337
8,2010303
7,2010363
7,2010205
7,10301101
7,10200613
7,20602102
7,2010309
7,2010287
7,2010345
7,30606701
6,2010364
6,2010382
6,2010199
6,2010278
6,20501701
5,2010209
5,10101201
5,2010220
5,10300607
5,2010216
5,2010304
5,2010214
5,2010182
5,2010274
5,20504201
5,2010267
5,2010144
5,2010341
5,20400803
5,10100610
5,2010288
5,2010342
4,2010311
4,2010353
4,2010357
4,2010354
4,10100609
4,2010327
4,2010338
4,2010202
4,20602201
4,2010198
4,2010210
4,2010178
4,2010185
3,2010165
3,2010188
3,2010190
3,2010195
3,20400804
3,10300601
3,2010166
3,2010282
3,20602601
3,2010154
3,30603601
3,2010223
3,2010328
3,2010273
3,2010149
3,2010222
3,2010381
3,2010323
3,2010146
3,2010270
3,30605901
3,2010213
3,2010268
3,2010269
3,2010346
2,2010349
2,20807201
2,2010347
2,2010200
2,20403602
2,2010305
2,2010332
2,2010324
2,2010275
2,2010193
2,2010143
2,2010217
2,2010218
2,2010378
2,2010358
2,2010179
2,2010225
2,2010191
2,2010174
2,2010172
2,2010204
2,2010215
2,2010211
2,2010145
2,2010151
2,2010276
2,2010156
2,2010163
2,2010114
2,2010286
1,2010343
1,2010184
1,2010189
1,2010344
1,2010295
1,2010377
1,2010170
1,2010350
1,10101202
1,31007001
1,2010164
1,2010167
1,2010176
1,2010111
1,2010192
1,20602301
1,2010294
1,2010284
1,2010283
1,2010306
1,2010308
1,2010168
1,2010261
1,2010242
1,2010239
1,2010237
1,2010231
1,2010230
1,2010229
1,2010228
1,2010221
1,2010219
1,2010334
1,2010208
1,2010203
1,20501901
1,2010113
1,2010169
