2017-05-05 06:30:00-2017-05-05 06:40:00,监测点id
1233,10300202
1165,10200103
495,20500304
490,20104403
488,20100306
486,10300201
419,20507302
400,20104401
394,10100204
392,20501405
384,10100406
381,20507301
372,20507304
372,10100206
367,10100405
359,20507402
357,10100205
347,20507403
347,20501403
345,10200102
343,10200104
332,30606706
330,10300207
328,10100211
314,20504601
307,2010046
302,20501408
292,30606707
292,10300212
289,20507303
288,2010123
288,10100407
287,20501409
277,20501413
277,20501407
272,2010365
268,20501404
265,20104607
265,30606702
263,2010137
261,20501412
257,10203801
256,2010325
253,10200402
247,30606704
245,10203802
242,10200901
233,10306101
231,20104402
230,20501803
227,10100403
225,20501406
225,10200903
224,20204001
223,10301102
217,2010319
216,20501807
214,20605302
212,2010320
210,2010044
210,2010289
207,30606710
207,20504603
202,20501805
201,2010133
200,2010019
200,20104605
195,20100301
195,10300213
194,10300504
192,2010131
192,20104404
189,20501411
187,2010132
187,20502003
184,20501410
177,20605301
176,2010290
172,20606604
171,20501402
170,10300506
170,20606602
170,10300503
169,10300505
168,10100408
161,2010341
160,20101813
159,2010364
158,2010053
156,2010382
155,2010302
155,20506502
154,20501810
154,2010135
153,10300602
151,20504604
147,30606708
144,2010017
141,20301815
140,2010018
139,20101816
136,30606703
132,2010138
132,2010366
131,20506501
130,2010335
130,20504203
130,20301814
130,2010326
130,2010124
128,20602404
127,10301101
127,20602102
126,10103501
121,20300615
120,2010054
119,20605502
119,2010045
118,20502004
118,2010125
115,2010140
114,20602405
113,20602406
112,2010288
112,2010250
111,2010198
110,2010338
110,10103901
109,20602104
108,2010363
107,10103502
106,20101812
105,2010336
104,2010278
102,20501811
102,20606603
100,2010248
100,2010047
96,2010287
96,20602403
95,20503401
94,2010025
94,10101001
92,2010346
92,2010141
92,30606002
91,20104606
91,10104301
90,20606606
89,2010036
89,2010216
88,2010205
88,20504202
87,2010134
86,2010342
86,2010303
83,2010020
83,10100604
83,20606605
83,20400804
82,20602103
82,2010202
82,20400801
80,20101817
80,20501802
80,2010374
79,30701902
79,20200905
77,20606601
77,10100606
76,10107801
75,10100603
75,2010183
74,2010217
72,2010199
72,2010353
71,2010048
71,2010009
70,2010190
70,2010200
70,2010309
70,20402801
69,20400803
69,20605202
69,2010311
68,10300607
67,2010021
66,2010267
66,30602504
65,30606709
65,2010052
65,2010185
65,2010074
64,2010345
63,2010249
62,2010277
62,10101004
62,2010061
62,2010163
62,10107701
61,2010304
61,20501809
61,20200906
61,10101201
61,20807201
61,2010273
60,20400805
60,20605101
60,20503402
60,10107802
58,2010062
58,20602101
58,20400806
56,2010189
56,2010072
55,2010117
55,10101003
55,20504205
55,2010144
55,30701903
54,20602106
54,2010201
54,2010343
53,2010031
53,10100605
53,2010223
53,2010182
52,20605201
52,2010194
52,20504501
52,2010331
52,2010211
51,20400802
51,10100610
50,20504801
50,2010381
50,2010219
50,2010306
49,20300701
49,30605901
48,2010195
48,2010039
48,2010184
47,2010156
47,30606705
47,2010073
47,20504901
47,2010026
46,10200613
46,10101202
46,2010357
46,30707902
46,10107702
46,2010213
45,2010269
45,2010358
45,2010120
45,2010188
45,2010274
44,10101301
44,2010222
44,2010043
44,20602601
44,2010118
44,10100612
43,2010154
43,20605102
43,2010327
43,2010056
43,2010191
43,20501901
42,2010119
42,20403602
41,2010337
41,2010042
41,2010203
41,2010221
41,2010178
40,2010215
40,2010220
40,2010275
40,30608001
40,2010149
40,2010270
39,10300601
39,2010166
39,2010354
39,2010041
38,2010276
38,2010122
38,2010193
38,30603301
38,2010305
37,2010344
37,2010308
37,20602301
37,30608002
37,2010010
36,2010179
36,30707901
36,2010281
34,2010151
34,20504201
33,2010128
33,2010050
33,20504802
33,30603601
33,20605402
33,2010055
32,2010192
32,2010284
31,2010328
31,2010129
31,2010165
31,2010078
31,20807202
30,10200614
30,2010121
30,2010038
30,2010063
30,2010210
30,10403701
30,2010282
29,2010005
29,20602201
29,2010127
29,2010347
28,20807502
28,20605001
28,2010030
27,2010323
27,2010064
27,2010350
27,2010049
27,2010257
27,10100609
27,2010126
27,2010035
27,2010001
26,2010332
26,2010375
25,30602505
25,2010004
25,2010333
25,10207101
25,2010214
25,2010040
25,2010077
24,20807602
24,2010146
24,2010218
24,2010003
24,2010177
24,31006901
24,2010029
23,2010002
23,2010059
23,20605501
23,2010239
23,20504204
23,10101302
23,2010258
22,20605401
22,20605002
22,2010143
22,2010145
22,2010268
21,20204101
21,2010114
21,2010037
20,2010176
20,2010294
20,2010209
19,2010060
19,2010286
18,2010081
18,2010034
18,20501808
18,2010349
18,2010083
17,2010113
17,2010283
17,2010024
17,20501401
17,2010027
17,20807501
16,2010228
15,2010380
15,2010173
15,20807601
15,2010295
14,2010172
14,2010324
14,2010028
13,2010379
13,20501701
13,2010296
13,2010334
13,20504902
13,2010071
13,20507401
12,2010378
12,2010369
12,2010187
12,2010116
11,2010168
11,2010082
11,2010084
11,2010285
11,2010174
11,20602105
10,2010232
10,10207102
10,2010240
10,2010207
10,2010186
9,2010058
9,2010230
8,2010079
8,2010164
8,2010208
8,2010243
7,2010170
7,2010057
7,2010245
7,2010204
7,2010080
7,2010262
7,2010242
7,2010373
7,2010368
6,2010241
6,2010115
6,30602506
6,2010261
6,2010377
6,2010376
6,2010175
5,2010231
4,2010013
4,2010069
4,2010229
3,2010016
3,31007001
3,2010014
3,2010206
3,20602701
2,2010236
2,2010233
2,2010070
2,10101002
2,2010111
1,2010234
1,2010015
1,2010227
