2017-05-24 10:00:00-2017-05-24 10:10:00,监测点id
1074,10100405
1032,10200103
935,10200104
853,2010364
826,10300503
800,10100408
715,20100306
710,10200102
691,20100301
665,2010131
658,10300505
633,10100407
595,30606708
584,10200903
568,10300504
558,2010325
558,20501404
558,20501409
547,20501807
538,20501810
527,10203802
524,20501407
518,2010138
510,20104607
498,20501406
487,10200901
470,20501408
465,20501403
459,10203801
458,10300202
458,2010290
456,10100610
438,2010044
438,2010320
424,2010319
422,10300212
414,10103502
413,10100606
410,20504203
404,20104403
393,10301102
391,2010198
391,2010137
390,2010124
390,2010125
390,10100609
378,2010302
372,20501811
371,10100612
363,10103501
358,10101003
358,30606709
355,20602101
354,20501405
349,20500304
348,20501805
347,20104605
347,2010289
337,2010363
337,20400803
328,10100605
324,20501413
324,10300213
317,20504202
314,10101001
314,10100211
310,30603601
310,20204001
310,2010336
308,20104401
308,2010123
307,10300506
302,10200614
291,2010053
290,20501412
282,20501402
279,20605002
277,10301101
274,10100604
274,2010287
273,2010002
272,10300602
271,20501809
270,20507402
269,2010335
266,30606705
262,20606504
262,2010303
261,10100205
261,2010382
261,2010004
260,2010200
259,20605302
256,10101201
255,20501411
255,2010341
254,2010342
254,20602405
253,20400804
252,2010277
250,20606601
250,2010205
248,2010054
247,20504603
246,10100603
245,20501410
244,20104402
244,20602102
244,10100403
240,2010216
236,10200613
233,20605301
233,2010043
232,2010327
232,20300615
228,20606603
228,20504201
228,20503401
228,2010042
227,20503402
227,10101004
226,20602406
226,30606702
226,20101812
225,2010278
224,2010248
222,10100204
221,2010182
221,2010041
219,2010072
218,30701902
218,2010052
217,20507403
213,2010190
212,20606605
211,2010249
211,20502004
209,30606002
207,20602603
207,2010214
206,30701903
206,2010331
206,2010281
206,2010274
205,2010026
205,2010039
204,20104404
203,2010213
203,20504901
203,2010222
202,20504601
202,10101301
200,10300601
197,2010047
196,20501803
194,2010211
193,20504702
190,2010003
189,2010183
186,30606706
186,2010267
184,20504604
184,20606604
184,2010050
183,20501802
181,2010031
179,2010034
179,2010009
178,2010326
178,2010051
177,2010276
177,10100206
176,2010156
176,20605202
175,2010184
174,2010304
174,2010195
173,20200905
173,2010259
172,10104301
172,2010345
171,20606606
171,20504204
171,2010311
171,2010020
170,20602602
170,2010029
170,2010036
169,2010019
169,2010339
168,2010353
168,10101202
167,2010021
167,30606707
166,2010275
165,2010017
164,20104606
164,2010185
163,20605101
162,2010048
162,20400802
161,2010268
161,20504205
161,2010201
161,20605102
161,10101302
160,2010040
159,20501804
158,2010250
156,20605001
153,20300701
153,20504602
153,20101813
152,10306101
152,2010305
151,2010025
151,20400801
151,30707902
150,20606503
149,20602404
149,10300201
148,2010374
148,2010154
147,2010346
147,2010338
146,2010221
146,2010038
146,20504701
144,10107802
143,2010134
142,2010260
141,20501901
140,2010328
139,2010194
137,2010062
136,2010282
135,2010306
132,20403602
131,2010217
131,20606602
130,30707901
129,2010225
129,2010024
129,2010121
128,2010309
127,2010046
126,2010178
126,30606710
126,20605402
125,2010073
125,2010179
124,2010340
124,2010027
122,2010337
121,10300207
121,31006901
121,20301814
120,10100404
120,2010330
119,2010120
118,2010141
118,20605502
117,20502003
117,2010127
116,20605401
114,20807201
112,20605201
112,20501808
112,2010140
112,2010219
112,10107701
111,2010119
111,20807202
111,2010001
111,2010357
110,2010202
110,2010191
109,2010188
107,20200906
107,2010063
106,2010113
106,2010163
106,2010144
105,20602601
104,2010166
104,2010203
103,2010122
102,2010129
102,2010010
101,20602201
101,2010193
100,2010358
100,2010118
100,2010151
99,2010005
99,2010035
99,2010220
98,2010210
97,2010192
96,2010176
95,2010128
95,2010149
94,2010269
93,2010224
93,2010270
93,2010347
92,2010064
92,2010126
91,10107702
90,2010354
90,20602103
89,2010329
88,2010209
87,20602104
87,20605501
87,2010165
86,10100406
85,2010351
84,2010266
84,10107801
82,10403701
81,2010071
80,30608001
79,2010074
79,20602106
78,2010117
78,2010177
78,2010308
78,30606703
78,2010037
77,30608002
75,2010030
73,2010381
72,2010332
72,2010324
72,2010028
71,2010296
71,2010060
69,2010059
69,2010258
69,20501701
68,2010323
67,20504801
67,2010273
66,20504802
66,10103901
66,2010295
65,30605901
64,10207101
64,2010082
63,10100203
61,20504902
61,2010333
61,2010114
61,2010262
59,2010257
58,2010189
58,2010130
58,20602105
58,2010078
57,20602301
56,2010077
55,2010280
55,2010061
55,2010145
54,2010265
54,20507401
52,2010349
52,30606704
52,2010285
51,2010350
50,2010168
50,20807501
49,20807601
49,2010081
49,2010286
49,2010334
48,2010283
48,2010175
47,2010218
46,20507302
46,2010083
45,2010239
45,20204101
44,2010143
43,20602403
42,2010084
42,20807502
41,2010116
40,2010279
40,2010172
40,2010242
39,2010245
38,2010379
37,2010207
37,2010146
35,2010115
35,2010174
35,2010375
31,2010243
29,2010079
29,2010284
28,2010369
28,2010368
28,2010164
28,20807602
27,2010261
25,2010380
25,2010241
24,2010070
24,20602701
23,2010378
22,2010080
20,2010373
20,2010057
20,10207102
19,20507304
19,2010187
19,30603301
19,2010058
18,2010229
18,2010228
18,2010377
17,20507301
17,2010170
17,2010069
16,2010240
15,20507303
14,2010173
14,2010208
13,2010049
13,2010169
12,2010045
12,2010186
12,2010111
12,2010230
12,2010234
10,2010206
9,2010237
9,2010204
9,2010223
8,2010167
8,20501401
8,2010376
7,2010231
6,2010232
5,2010236
4,2010233
3,2010235
2,2010227
2,2010226
2,2010018
1,31007001
