2017-05-25 02:50:00-2017-05-25 03:00:00,监测点id
1040,10100406
1012,10300207
873,20501805
580,30606702
554,30606706
460,30606707
420,10100404
365,10100211
315,20504603
292,30606710
254,20507302
200,20507303
198,30606704
146,20204001
129,10300201
128,10100204
126,10100203
122,20501803
120,10100206
110,10100403
102,20507301
95,20104403
93,10100205
86,2010131
80,2010018
76,20104402
72,20104404
67,20504602
67,20602406
66,20104401
60,20507304
58,2010054
55,20602405
52,20504601
50,20602404
45,20504604
35,20602403
35,20501804
32,20501802
30,20501809
29,20101812
26,20101813
26,2010047
24,2010021
23,2010036
22,20602104
21,2010051
20,20602106
20,2010039
18,2010040
17,2010049
16,2010052
16,20400802
16,2010048
16,2010041
16,2010038
15,20501810
15,2010043
15,2010042
13,2010127
13,2010126
13,2010073
12,20602103
12,20807202
12,20400801
11,2010129
11,2010128
10,10104301
10,2010130
10,2010050
6,20605002
4,20501808
4,30603301
4,20301814
3,2010037
1,20602105
1,20507401
