2017-05-25 21:40:00-2017-05-25 21:50:00,监测点id
1796,10100406
1733,10100206
1604,10300207
1575,10100205
1570,10100203
1400,10100204
1010,10300201
919,10100408
913,10100403
861,30606706
812,10300202
810,10200104
791,2010131
771,30606707
727,10300212
722,10200102
703,10100405
671,10100211
652,20504602
649,30606704
647,2010054
629,20100301
628,20104403
625,20104402
617,20500304
616,20204001
583,30606702
577,10200103
563,10300504
561,20104401
550,20501408
543,10200903
537,2010326
528,10100407
522,20501404
515,20104605
511,10300503
511,20501405
504,20501402
492,20501803
471,10300505
467,20507303
463,20400806
461,2010302
459,2010364
455,20100306
453,2010138
451,10300506
449,30606710
442,30606708
441,2010325
433,20507302
417,20501409
408,20501406
394,20501407
394,30606703
393,20507304
393,20501403
389,20504202
373,2010289
366,2010319
363,10300601
360,10203802
356,10300213
348,2010044
344,20504603
343,20501411
338,20501811
327,20104404
318,10200901
317,10306101
317,20501805
317,20501412
309,2010137
303,10301101
302,20504601
300,20501413
300,20300615
298,20501807
298,2010381
297,10301102
293,2010250
290,20501804
288,20101813
287,20501810
284,10203801
281,20504604
277,2010290
277,10103502
276,20507301
267,20602101
265,2010053
264,20506502
264,20501802
263,10100606
263,10103501
261,10100603
259,20506501
257,2010249
256,10100605
253,20504203
252,20606504
250,20104607
250,20605301
248,2010320
248,20501809
240,20502004
231,2010021
230,20606603
228,10101004
227,20501410
225,20605302
223,2010123
217,10100604
217,10200614
214,10100609
213,20606503
211,2010363
211,30606705
210,20104606
210,10300607
209,2010199
208,2010248
207,10100612
207,10300602
203,2010335
202,10101001
201,10100610
200,20502003
198,2010018
197,2010336
194,20602405
193,10101003
191,2010287
190,2010216
188,2010198
187,2010382
187,2010052
185,2010048
183,2010051
182,30606709
182,2010020
182,20400801
181,2010047
180,2010017
176,20602602
176,20602404
174,2010036
171,20400804
168,2010303
168,2010337
168,10200613
165,30701903
164,20606601
163,20101812
163,10101201
162,2010277
161,2010040
159,2010042
158,2010043
157,20602403
155,20400802
154,20503401
153,20606602
152,20504201
152,20507402
150,2010341
150,20602603
150,2010213
150,2010190
150,20602102
149,20200905
147,2010205
147,10104301
146,2010045
145,20503402
145,20504901
145,2010046
144,2010019
143,2010002
142,30606002
142,2010327
140,2010026
138,2010003
137,2010025
134,2010004
132,10107802
132,2010202
131,2010304
131,2010009
131,2010342
131,20507403
130,2010346
130,2010345
130,2010073
129,20400803
129,20606604
128,2010038
126,20504702
126,20602201
126,2010328
126,20602406
125,2010005
124,2010200
123,20602104
123,2010211
123,2010309
120,10107801
119,2010278
118,20300701
118,30701902
117,2010041
117,20504501
115,2010282
114,20602103
114,10101302
112,2010260
111,20605101
110,2010039
110,20605202
108,2010353
107,2010358
107,2010357
105,20605102
105,2010194
104,20606606
104,2010050
103,20605502
103,20605001
102,20602106
102,2010064
101,2010275
101,2010183
101,20501901
99,2010049
99,30707901
99,2010267
98,20504204
97,20504205
97,10101202
97,2010182
97,20605402
97,2010340
96,30707902
96,20605401
96,2010273
96,2010063
96,2010274
95,2010311
95,2010124
94,20403602
94,2010156
93,2010308
92,2010220
92,2010134
92,2010185
92,2010024
92,2010331
91,2010268
91,2010141
91,2010354
90,2010034
89,2010351
88,2010165
88,30603601
88,2010035
88,2010154
88,2010072
87,2010149
87,30605901
87,2010217
87,2010306
85,2010210
85,2010125
85,2010031
84,10101301
84,2010305
84,2010338
84,20200906
84,2010276
84,2010214
82,2010195
80,2010027
80,2010281
80,20504701
80,2010126
79,20807202
79,2010127
78,2010010
78,20605201
78,2010184
76,2010121
75,2010061
75,2010028
74,2010129
74,20605002
74,2010120
74,2010193
74,2010167
73,20602601
73,2010222
73,2010166
72,20504801
71,2010128
71,2010221
71,2010219
71,2010203
69,30603301
69,2010062
68,2010140
67,2010259
67,2010201
66,2010269
66,20501701
66,2010178
66,20807201
66,20504802
66,2010119
65,2010151
64,2010224
63,2010192
63,2010179
63,2010330
63,2010144
62,20504902
62,30608002
62,2010324
60,20204101
60,2010163
60,2010191
59,2010037
59,10103901
59,10200904
59,2010117
58,2010122
58,2010177
58,2010130
57,2010296
57,2010189
57,20605501
56,10107702
56,2010347
54,2010270
53,2010339
52,2010257
52,31006901
51,2010001
51,2010266
51,2010209
50,2010118
49,2010188
48,20501808
48,2010078
48,2010225
48,2010349
48,2010329
48,2010030
47,20301814
47,2010295
47,2010374
47,2010218
46,2010323
46,2010146
45,2010143
44,30608001
43,2010333
43,2010286
43,2010258
42,2010077
42,10403701
41,2010265
40,2010176
40,2010082
40,2010114
39,2010350
39,2010243
39,20807502
38,2010375
37,2010029
36,2010071
36,10207101
35,20807501
35,20602301
34,2010084
34,2010379
34,2010083
32,2010145
31,20807601
31,2010172
30,2010239
30,2010285
30,2010245
29,2010284
29,20602105
28,2010279
28,2010081
27,20807602
27,2010070
26,2010377
26,2010060
25,2010262
25,2010294
25,2010378
25,2010116
24,2010113
24,2010074
24,2010280
23,2010334
22,2010283
22,2010175
21,2010168
21,2010059
21,2010380
20,2010207
20,2010173
19,10207102
18,2010242
18,2010115
17,2010069
17,2010229
16,2010079
15,2010013
15,10101002
15,2010241
14,2010368
14,2010170
13,2010174
13,2010014
13,2010111
12,2010080
12,2010016
12,20507401
11,2010373
11,10107701
11,2010228
11,2010369
10,2010261
9,2010240
9,20602701
9,2010057
8,2010015
8,2010204
7,2010187
7,2010231
6,2010376
6,2010058
6,2010226
6,2010169
5,2010230
5,2010236
5,2010186
4,2010164
4,2010237
4,2010233
4,2010234
3,2010235
3,2010208
2,2010232
1,20501401
