2017-05-25 03:40:00-2017-05-25 03:50:00,监测点id
1249,10300207
1214,10100406
792,30606702
721,30606706
613,10100404
566,30606707
451,10100211
414,20504603
317,20507303
303,30606710
301,20507302
230,30606704
170,20204001
166,10300201
147,20507301
144,10100203
131,10100204
121,20104403
121,20602406
118,20501803
117,10100403
111,10100205
106,10100206
102,20104401
94,2010131
89,20602405
87,20507304
84,20104402
84,20602404
76,20504601
72,20504604
72,2010018
71,20602403
70,20104404
68,2010054
58,20504602
45,20501805
44,20501809
39,20501804
36,2010043
35,20501802
34,2010042
32,20602104
28,2010047
27,20101813
26,20400801
24,2010021
23,20501810
22,2010049
22,2010052
21,2010130
21,2010051
20,20602106
19,2010048
17,20602103
16,20400802
16,2010050
15,10104301
15,2010073
14,20101812
14,2010128
13,2010126
11,2010127
11,2010041
9,2010036
9,20807202
8,2010038
8,20605002
7,2010040
7,2010129
5,2010039
5,20602105
5,20501808
4,20507401
4,30603301
4,20301814
2,2010037
