2017-05-25 18:40:00-2017-05-25 18:50:00,监测点id
1953,10300207
1848,10300201
1683,10100204
1609,10100205
1563,20501803
1556,20504602
1496,10100206
1420,20504604
1368,20501802
1257,20501804
1217,10100406
1093,30606706
1061,10100403
1034,10100203
1017,2010131
933,30606707
914,20104403
865,10100211
860,10300505
851,10200104
836,20104402
828,10300212
824,10100408
822,10100405
811,10300202
808,10200102
798,10300503
796,30606702
793,10200903
791,2010054
777,20501405
744,10200103
735,20100301
733,20104401
718,20500304
709,20507304
696,20501404
692,20101813
665,20507303
655,20507301
647,20501408
643,2010364
635,10300504
604,10300506
598,2010325
594,20501805
593,20507302
579,20501402
570,30606710
568,20100306
565,20602101
558,20501406
556,20104605
552,10100407
547,20504601
546,20501409
544,30606701
525,20400806
516,20204001
515,30606703
504,20501407
502,20501807
501,20104607
494,2010137
480,20104404
479,20501811
477,2010044
474,10100606
465,20504603
465,20504202
460,10200901
458,30606708
457,20501810
456,10300601
441,2010381
438,10200904
429,2010289
420,20501403
420,10100605
418,2010123
418,20606603
414,10100604
410,2010319
410,10203801
410,10203802
402,10306101
398,20606503
397,10100609
390,2010138
385,10100603
382,20602104
371,2010363
365,30606704
361,20602102
357,20501411
346,2010287
339,20506502
338,10103501
328,2010250
328,20606504
327,2010302
326,2010040
324,30606709
324,20400801
324,20501410
319,20400804
314,2010053
314,30606705
314,10100610
313,2010199
312,2010320
312,20602404
311,20502004
310,2010277
309,10200614
308,10300213
307,2010036
306,20300615
305,2010382
305,10103502
304,2010073
301,20504203
300,2010042
294,20101812
293,2010290
293,10100612
292,20504702
288,2010051
287,2010043
285,20606601
283,20503402
274,20602103
267,20104606
264,2010335
263,2010190
261,10101001
260,2010003
260,2010326
257,2010004
257,10101004
256,20400802
252,10301102
252,2010002
251,2010303
248,2010047
245,20605302
245,20605301
243,10300602
243,2010345
243,2010213
241,2010342
241,30701903
238,2010052
237,2010205
234,2010337
233,20602405
232,2010034
231,10301101
230,20602403
230,2010128
228,2010021
227,2010126
226,10200613
226,2010278
225,10101201
225,30606002
224,2010038
224,20602406
221,20507402
220,2010009
220,2010020
217,2010301
215,20200905
215,20606602
214,2010249
210,2010248
209,2010341
209,2010259
206,2010035
206,2010198
205,2010336
205,2010268
203,2010282
203,20506501
202,10101302
200,20400803
199,2010045
199,20605101
197,20605402
195,10101003
195,20507403
193,2010202
193,2010211
192,2010026
191,20606604
191,2010276
190,20504901
189,20502003
187,2010046
