00:30-00:59,监测点id
4334,10100406
2088,10100405
1989,10300201
1641,10200402
1553,2010133
1399,10200103
1395,10100403
1360,20204001
1255,30606706
1208,10200104
1193,2010132
1176,20100301
1104,10300202
1085,10200102
1072,10100211
1055,10300207
1018,2010131
1014,10100404
999,20500304
978,10100204
975,10100205
973,20507302
966,2010044
964,20501404
959,30606707
940,30606702
939,20507303
932,20400801
921,30606704
917,20501803
906,20501405
861,10300505
858,10300503
850,20501810
847,10100206
836,20507301
830,20501409
830,20104403
820,20507304
805,10203801
798,20104401
789,20602404
784,2010073
777,20100306
774,20501407
767,20501406
742,30606708
736,2010054
732,20501807
730,10300213
718,20501402
690,20501805
686,10300212
684,2010019
666,20104605
662,10203802
653,20501811
641,30606002
634,2010042
626,20504202
612,20104404
607,20504602
604,20501802
596,20501804
596,2010135
594,2010043
587,20602406
582,20301815
565,20501809
554,20501403
529,20101813
513,20101816
511,20104402
504,20602603
504,2010010
492,10306101
492,20104607
492,20301814
485,2010017
484,2010018
470,20605301
470,2010250
465,20602403
450,20602602
446,20605302
442,20400805
440,20502004
438,20400806
426,2010040
419,2010123
417,20504601
414,20504203
408,20606603
408,20507402
405,2010053
400,20300615
394,10103502
388,10103501
383,10100604
383,20507403
380,20602104
379,20504603
369,10300602
362,20504604
362,10100612
360,30606709
358,20602405
330,10101003
328,2010046
321,31006901
312,30606710
309,2010036
309,10101004
306,2010070
305,10101001
298,2010072
296,20502003
295,2010026
295,2010001
294,2010038
293,30701902
293,20606601
290,30606705
283,30701903
282,2010025
280,2010134
280,20503402
278,20504901
272,2010031
267,20503401
266,20101817
264,10100603
262,20501808
261,2010030
261,20606606
254,2010020
253,20101812
252,20605102
250,2010045
249,2010021
249,20400802
246,20200905
246,20606602
246,2010125
245,2010124
239,2010048
237,20605101
233,2010052
231,20504204
230,20104606
230,20602103
221,2010009
218,20300701
217,20504205
211,2010047
200,20606604
199,20606605
195,2010002
194,2010003
193,10107801
193,20807202
192,10107802
188,2010119
188,30707902
186,2010004
184,20605202
180,2010064
180,30602504
177,20200906
177,2010122
175,20504501
175,30707901
169,2010063
165,2010062
164,2010041
164,2010141
161,2010120
159,20602106
159,2010118
156,2010077
156,20504802
154,2010039
152,20605001
151,2010015
150,2010117
146,2010005
145,10101302
144,2010061
144,20605402
143,20402801
143,2010024
142,20504801
139,2010078
136,20605201
133,2010055
129,2010029
123,2010027
122,2010056
122,2010121
121,20204101
120,30608002
119,10403701
116,2010074
113,2010034
112,2010035
109,10101301
107,2010050
105,2010014
104,10107701
99,20605401
96,20605502
93,2010375
91,30608001
91,10104301
90,2010129
89,2010060
85,2010374
85,2010059
83,2010140
82,30603301
82,2010127
82,2010013
82,2010028
80,2010082
80,2010081
76,20605501
76,10107702
76,2010071
75,2010049
75,2010083
74,2010126
69,2010128
68,20807501
67,2010037
67,2010069
66,20807502
64,20807601
60,2010084
56,20602105
55,30602505
55,10207101
54,20807602
54,20504902
48,20605002
46,20501411
44,2010016
36,10200904
35,20400804
33,2010379
32,10100407
31,2010380
29,2010364
29,2010366
28,10200901
26,20506502
25,20501410
24,10207102
22,20501408
22,20501413
22,20506501
21,2010079
20,2010319
20,2010290
19,2010325
19,2010320
19,2010080
18,10300504
18,2010194
18,10100408
17,20507401
17,2010302
17,2010198
17,20501412
16,2010249
16,2010301
15,2010057
14,30602506
14,10301101
14,2010138
14,2010163
14,10300506
13,2010058
13,10200903
13,10100605
13,2010326
13,2010365
13,2010303
12,20403602
12,10300607
11,10100606
11,2010199
10,2010335
10,20606504
10,20400803
10,2010353
9,2010288
9,10301102
9,2010200
9,2010190
9,20602201
9,2010248
9,2010225
9,2010277
8,30606703
8,10200613
8,2010137
8,20602101
8,2010336
8,10101201
7,2010224
7,2010304
7,10300601
7,2010287
7,2010309
7,2010382
7,2010201
7,2010202
7,2010311
7,2010273
7,2010331
6,2010341
6,2010222
6,2010216
6,10103901
6,2010268
6,2010191
6,2010192
6,2010185
6,2010211
6,10200614
6,2010156
6,2010243
6,20504201
6,31007001
6,2010363
5,2010219
5,20602102
5,2010337
5,20602601
5,2010188
5,2010220
5,2010333
5,2010358
5,2010182
5,10100610
5,2010116
5,2010189
5,2010205
5,2010381
5,2010166
4,30603601
4,2010165
4,2010115
4,2010149
4,2010357
4,2010338
4,2010354
4,2010347
4,2010342
4,2010143
4,2010184
4,2010213
4,2010167
4,2010305
4,10101202
4,2010193
4,2010195
4,10100609
4,2010286
3,2010144
3,2010221
3,2010289
3,2010257
3,2010269
3,2010151
3,2010270
3,2010209
3,2010217
3,2010215
3,2010282
3,2010223
3,2010275
3,2010308
3,2010345
3,2010300
3,20501901
3,2010327
3,2010307
2,2010114
2,2010245
2,2010176
2,2010231
2,2010229
2,2010378
2,2010267
2,2010214
2,2010369
2,20602301
2,2010343
2,20807201
2,2010154
2,2010281
2,2010334
2,2010210
2,2010328
2,2010346
2,30605901
1,2010169
1,2010207
1,2010206
1,2010228
1,2010186
1,2010234
1,20602701
1,2010349
1,2010258
1,2010261
1,2010295
1,20501701
1,2010285
1,2010284
1,2010344
1,2010278
1,2010276
1,2010113
1,2010296
1,2010332
1,2010368
1,2010274
1,2010203
1,2010179
1,2010350
1,2010177
1,2010172
1,2010178
