2017-05-01 05:30:00-2017-05-01 06:00:00,监测点id
1862,30606702
1113,20507302
1112,20507402
1088,20507403
1058,10100211
964,20507301
958,20507304
886,10100405
824,20507303
755,10100406
718,10200103
669,10200402
630,20501405
621,10300202
607,20204001
596,10300201
590,10200102
575,10200104
561,2010132
542,20501807
534,10300212
502,20501805
501,10300213
490,20500304
487,10100205
483,10300207
474,10100204
468,10100403
468,20501803
459,20501409
450,20104403
449,20501407
446,2010044
443,20100306
436,10100206
420,30606706
410,20501403
402,20100301
394,2010135
384,2010133
377,20501404
373,10203802
360,20501810
358,2010019
350,20104605
343,10203801
341,20504601
339,20400806
336,2010123
336,10100404
335,20400805
333,2010017
332,30606707
330,20602405
329,20104607
322,20501802
315,20104401
311,20605302
310,20104402
309,20101813
307,20104404
304,2010131
302,20301814
298,20501406
295,20504603
290,20301815
286,2010134
274,20501402
274,20605301
273,20501804
270,20602403
255,20501809
249,10306101
241,20501811
238,20504602
238,2010045
237,20602603
236,10300503
230,20101816
220,2010072
210,10300505
204,30606708
203,2010250
203,30606002
201,2010020
195,20602602
193,2010018
191,20602404
188,2010054
188,10103501
185,20503401
184,20204101
180,20504604
179,10300602
177,30606704
176,2010043
175,31006901
174,2010001
172,20602104
172,20101812
171,20504202
169,20606606
167,20502004
166,20104606
166,20400802
165,2010042
164,2010021
164,2010031
151,20606603
151,20606602
149,20504501
149,20602406
145,30606710
143,2010053
142,10103502
141,20300615
141,2010046
139,10101001
138,20606604
137,2010119
137,20606605
135,2010073
133,30602504
131,20502003
129,10101003
126,2010025
124,20602103
124,20504203
123,20503402
122,10100604
117,20605502
115,2010117
114,30701902
112,2010016
112,2010120
111,2010010
110,2010030
109,10101004
107,2010026
106,20101817
105,10107802
105,10107801
105,2010048
105,20400801
104,10100603
102,10100612
99,2010122
95,2010374
95,20200905
94,20602106
93,30701903
92,20504801
91,20606601
86,20504205
85,2010061
84,20605202
83,20501808
83,20504802
83,2010052
82,20807202
82,2010047
81,2010029
79,20504901
78,2010040
77,2010015
77,20504204
76,2010118
76,2010036
75,30606705
74,2010124
73,30707902
73,2010125
73,20402801
72,2010050
71,30606709
69,2010129
68,20605101
67,2010127
67,30707901
66,2010059
66,2010141
66,2010009
66,20300701
66,2010078
65,2010005
65,2010121
65,20605201
63,2010041
63,2010039
61,20605102
60,20200906
60,30608002
59,2010056
58,2010064
57,30608001
56,2010062
54,2010060
54,2010038
53,20605402
51,2010140
51,2010063
50,2010077
49,2010003
49,2010002
48,2010004
47,20507401
45,2010055
45,2010013
45,10101301
44,2010375
41,20605501
41,2010024
41,2010074
41,20605001
41,30603301
40,10207101
38,20501411
37,2010128
36,10107702
36,2010082
36,2010366
36,10107701
35,2010126
34,20605401
34,10101302
32,10403701
31,2010037
30,20807601
29,2010035
28,20602105
28,10104301
27,2010014
27,20807502
26,20807602
26,20807501
25,2010071
25,2010027
24,2010028
24,2010049
24,20501410
23,10207102
22,2010083
21,20504902
21,2010084
21,2010081
20,20501408
19,2010057
19,10100408
18,2010058
18,2010034
18,2010069
16,30602505
16,2010379
14,10100407
14,2010070
14,2010079
11,2010380
11,10300504
11,2010319
10,20605002
10,20501413
10,2010363
9,20501412
9,2010320
8,2010138
8,2010205
8,20506501
8,20400803
8,2010249
8,10200903
7,20606504
7,10200904
7,2010382
7,2010198
6,20506502
6,20606503
6,2010326
6,2010194
5,2010222
5,2010189
5,10100606
5,2010137
5,2010365
5,10101201
5,2010346
5,2010080
5,10301102
5,2010267
5,10103901
5,10200901
5,2010303
4,2010301
4,2010188
4,20403602
4,20602201
4,2010364
4,2010328
4,10300506
4,2010185
4,2010345
4,30606703
3,2010201
3,2010311
3,2010268
3,2010336
3,30603601
3,20602601
3,2010277
3,2010278
3,10300607
3,2010288
3,2010290
3,2010309
3,2010325
3,20602101
3,2010302
3,2010332
3,10100605
3,2010195
3,2010166
3,2010248
3,2010217
3,2010216
3,2010190
3,2010210
2,2010203
2,2010219
2,2010218
2,2010211
2,2010156
2,10301101
2,2010200
2,10101202
2,2010327
2,20807201
2,2010335
2,2010163
2,2010338
2,2010176
2,2010354
2,2010220
2,2010174
2,2010144
2,2010242
2,2010223
2,10100610
2,2010228
2,31007001
2,2010143
2,2010274
2,2010273
2,2010154
2,2010225
2,2010224
2,2010116
2,2010381
2,20602102
2,2010146
1,2010342
1,2010343
1,2010115
1,2010202
1,2010377
1,2010368
1,2010151
1,2010111
1,2010113
1,2010350
1,2010353
1,2010173
1,2010149
1,2010262
1,2010341
1,2010182
1,2010269
1,2010243
1,2010276
1,2010240
1,2010239
1,2010282
1,2010285
1,2010287
1,2010231
1,2010295
1,10300601
1,20501901
1,30602506
1,2010304
1,2010308
1,20501701
1,2010215
1,2010213
1,2010206
1,10200613
1,2010191
1,2010333
1,2010184
1,2010192
