2017-05-01 13:30:00-2017-05-01 14:00:00,监测点id
4640,2010073
4434,10300201
4307,10100205
4222,20501803
4110,10100204
4065,10300207
3831,30606706
3687,10100206
3625,10100404
3236,10200103
3132,20501804
3006,10100405
2989,30606707
2924,10300202
2885,10200104
2694,10100403
2682,10200102
2658,20500304
2641,10100211
2595,10200402
2375,30606702
2360,20100306
2259,2010131
2228,10100406
2199,10300503
2177,2010133
2172,20501810
2163,2010132
2124,20100301
2099,10300505
2028,20501405
2027,20104401
1889,10300212
1866,30606708
1849,10203801
1799,20501409
1784,30606704
1780,30606710
1779,20501404
1754,20104607
1719,20501407
1711,20204001
1646,2010135
1637,10300213
1624,20501807
1622,2010044
1614,10203802
1609,20104605
1587,2010054
1585,10306101
1521,20501802
1505,20501406
1465,20501805
1454,20104403
1435,20501403
1420,20104402
1384,20101816
1344,20507304
1334,20501402
1325,2010123
1325,20400806
1311,20504601
1301,10100603
1272,2010053
1272,2010030
1266,20501811
1263,2010042
1262,20400801
1249,20502003
1248,2010043
1243,20504202
1236,20507303
1230,20400805
1224,20602404
1199,20504603
1187,20301815
1183,30606709
1179,20504203
1150,20101813
1144,10100604
1138,10300602
1126,20602103
1124,20104404
1119,20504602
1090,20507301
1060,10101001
1054,20301814
1029,20507302
1024,20502004
988,20606602
981,20605302
978,2010040
959,20504604
956,20602403
955,10103502
955,20602104
955,2010001
950,10103501
939,31006901
925,10101003
909,20606603
908,2010072
905,30606002
900,20602406
898,20602405
891,20606604
887,30606705
852,20605301
851,2010036
822,20602603
805,10101004
801,20501809
791,2010250
788,2010041
781,2010039
778,20101817
774,2010010
766,2010031
760,20300615
756,10100612
755,20200906
749,2010038
739,20503401
738,2010045
736,2010046
736,20104606
726,2010025
725,20507403
724,2010009
722,20400802
722,20507402
700,20606601
674,20602106
671,20503402
659,2010026
644,20807202
619,20200905
619,2010047
618,2010052
612,2010004
611,2010020
609,20605101
605,2010003
601,20605402
600,30701903
595,2010002
595,20606606
586,2010029
585,2010021
581,20101812
