00:00-00:29,监测点id
4699,10100406
2235,10100405
1974,10300201
1760,2010133
1672,10200103
1651,10200402
1570,20204001
1527,10200104
1494,10100403
1472,30606706
1414,10200102
1395,20100301
1354,10300207
1308,2010132
1305,10100404
1303,10300202
1260,2010131
1251,10100211
1220,10100204
1211,2010073
1206,20500304
1170,10100205
1167,2010044
1139,30606707
1123,20100306
1104,10100206
1098,30606704
1095,30606702
1075,20507303
1028,20507302
990,20501810
984,20501404
968,10300213
965,10300503
961,10300505
954,20400801
950,20501803
938,20104403
920,20104401
920,10300212
919,20501405
907,20602404
904,20501402
904,2010135
900,20507304
897,10203801
876,30606708
874,20501807
874,2010042
874,2010054
866,2010010
858,20104605
857,20501409
850,20104404
845,20501802
844,20501407
786,20501406
785,2010043
782,20501805
754,20504202
731,10203802
728,20504602
726,20501811
724,20507301
688,20602406
682,20501804
674,2010019
658,20104402
656,30606002
656,20101813
635,20501809
630,20301815
613,2010040
609,2010250
606,20501403
604,20400806
601,20400805
600,20104607
591,20301814
587,10306101
573,20101816
561,10100612
542,20605302
540,20605301
538,20606603
533,10103502
529,20602602
514,2010017
513,20602403
512,20602603
502,20502004
500,10103501
493,20504601
481,20300615
479,2010123
476,2010036
475,2010038
459,20504604
457,2010053
449,2010018
439,20504203
434,2010046
428,10100604
425,20602405
421,20504603
421,10300602
414,20502003
394,2010030
390,30606709
386,10101004
382,30701903
379,20400802
377,10101003
371,10100603
371,20507403
369,2010072
366,30606710
360,2010031
357,30606705
355,20504901
352,2010020
351,10101001
345,2010026
344,20507402
342,2010021
342,20501808
341,20602104
337,30701902
334,20606601
326,20503401
324,31006901
322,20101812
321,2010070
320,20503402
318,20606602
314,2010001
308,20104606
304,2010048
301,20200905
300,2010025
299,20602103
287,2010047
286,20300701
284,2010045
283,20504205
283,2010122
275,20605101
273,10107801
272,20504204
268,20606604
268,20606605
268,20101817
264,20807202
261,2010134
260,20606606
255,2010052
252,2010009
251,2010041
245,20605202
241,30602504
241,20605102
235,2010039
233,10107802
227,2010118
226,20200906
225,2010119
220,2010003
218,20605001
217,2010004
216,2010002
211,20605402
210,2010063
208,2010005
205,2010064
199,20504802
197,10101302
196,20504501
195,30707901
188,2010055
184,30707902
182,2010141
180,2010024
179,20504801
178,2010124
177,20402801
177,2010117
174,2010125
173,20602106
173,2010062
171,2010078
170,20605401
168,2010120
153,2010027
153,2010061
150,20605201
149,2010077
148,2010121
147,2010029
145,2010050
142,2010056
137,2010035
137,30608002
133,20204101
132,10101301
122,2010126
121,2010034
120,10104301
118,2010060
117,2010374
115,10403701
115,2010059
115,2010015
114,2010082
113,2010129
112,30608001
111,20605502
108,10107701
108,2010074
105,2010127
103,2010375
102,2010071
102,2010128
100,2010037
99,2010069
99,20605501
97,30603301
89,2010028
89,2010140
86,2010049
85,2010014
85,10107702
84,2010013
81,2010081
80,20807502
79,20504902
77,10207101
77,20807602
77,2010083
76,2010084
72,20807601
70,20807501
57,20602105
54,20605002
54,20501411
53,30602505
36,10100407
36,10207102
34,20400804
32,2010380
31,20501410
30,10200904
29,2010379
29,2010364
27,2010016
26,2010080
25,20506501
24,20506502
24,30606703
23,2010302
23,20501413
23,30602506
22,20606504
22,20501412
21,10300506
21,20501408
20,2010319
20,10100408
20,10300504
20,2010199
19,10200903
19,10100606
19,2010058
19,2010366
18,2010057
18,2010325
18,2010290
17,10200901
17,31007001
16,20602101
16,2010079
16,2010320
16,2010301
15,20403602
15,2010223
14,10301102
14,10103901
14,2010138
13,2010249
13,2010202
13,2010288
12,10200614
12,2010198
12,2010203
12,2010365
12,2010303
12,20400803
12,2010185
12,2010137
12,10301101
12,2010346
12,2010248
12,2010277
12,2010336
11,2010116
11,10100605
11,2010194
11,10100609
11,2010216
10,20507401
9,2010342
9,2010213
8,2010335
8,10300601
8,2010214
8,2010341
8,10300607
8,2010278
8,2010381
8,2010195
7,2010200
7,2010190
7,2010224
7,2010205
7,2010306
7,20602102
7,2010156
7,10200613
7,2010287
7,2010276
7,2010188
6,2010222
6,2010211
6,2010225
6,10100610
6,2010184
6,2010363
6,2010208
6,2010179
6,2010327
6,2010151
6,2010115
6,2010311
5,2010345
5,2010189
5,2010354
5,2010273
5,2010163
5,2010165
5,2010377
5,2010269
5,2010268
5,2010257
5,2010201
5,10101201
5,2010338
5,2010307
5,2010281
4,2010182
4,2010149
4,2010382
4,2010178
4,2010347
4,2010144
4,2010331
4,2010309
4,2010305
4,2010217
4,2010219
4,2010304
4,20807201
4,2010220
4,2010326
4,2010193
4,2010192
3,2010275
3,2010154
3,2010332
3,2010289
3,2010270
3,2010114
3,30603601
3,2010344
3,2010337
3,2010210
3,2010333
3,2010221
3,2010378
3,20504201
2,2010353
2,2010145
2,2010243
2,2010282
2,2010284
2,2010286
2,2010191
2,2010143
2,20501901
2,2010300
2,2010369
2,2010368
2,2010358
2,20602601
2,10101202
2,2010206
2,2010308
2,2010207
2,2010146
2,2010229
2,2010262
2,2010242
2,2010177
2,20602201
2,20501701
2,2010167
2,2010166
2,2010349
2,2010239
2,2010274
2,2010209
2,2010350
1,2010267
1,2010176
1,2010215
1,2010204
1,2010218
1,2010343
1,30605901
1,2010357
1,20602301
1,2010173
1,2010328
1,2010172
1,2010296
1,2010294
1,2010169
1,2010285
1,2010235
1,2010231
1,2010279
1,2010230
1,2010241
