01:00-10:29,监测点id
1720,10100405
1588,10100406
1471,10200402
1300,2010133
1256,10200103
1218,20204001
1214,20507302
1104,10100403
1095,20507303
1039,20100301
1032,10200104
1021,30606702
1008,20500304
1005,30606706
985,10300202
970,2010132
961,10300201
948,10100211
938,10200102
851,10300207
829,20501405
827,20100306
824,20400801
822,10100204
821,10100404
814,2010131
794,2010044
792,20602404
791,30606704
787,10203801
779,20501803
764,20507301
757,10100206
748,10100205
747,20104403
733,20501404
716,10300503
716,30606707
714,10300505
695,20104401
691,2010019
686,20501409
677,20602406
670,20501407
670,10300212
639,10300213
629,20507304
627,20501810
618,30606002
609,2010135
608,2010073
607,20501402
599,20501406
599,2010054
588,30606708
587,20501403
586,10203802
577,20501807
558,20104605
552,20501811
548,20104404
541,20501805
533,20301815
531,20501804
529,2010042
524,20501809
517,20504602
512,20504202
500,2010010
500,2010043
498,20602603
492,2010017
474,20501802
467,20104607
465,2010018
462,20602602
456,20101816
434,20101813
428,20605302
425,20602403
420,10100604
418,20301814
416,20104402
414,20605301
407,20507403
397,20507402
386,2010250
381,2010123
381,20504601
378,20400806
373,10306101
372,10103501
364,20300615
364,20400805
359,2010040
358,20606603
358,10101003
352,20502004
348,2010134
342,10300602
342,10103502
327,10100612
323,20602405
313,2010053
306,20504603
306,2010072
305,20504604
297,20602104
289,30606709
282,20504203
278,10101004
278,2010036
275,10100603
273,20502003
263,2010038
261,2010015
261,30701903
258,10101001
257,2010031
256,31006901
255,2010025
250,20606601
249,2010046
246,20503401
244,2010001
242,20101817
232,20101812
232,2010026
228,20503402
226,20504204
221,2010020
220,20504901
219,30606710
218,20200905
215,20606605
215,30701902
215,20104606
214,2010045
214,30606705
211,2010124
209,2010021
209,2010125
209,20606606
208,2010016
208,2010077
207,20400802
206,20605101
202,20504205
201,20501808
199,20602103
199,2010070
197,30602504
195,2010030
194,2010048
188,10107801
187,20606602
186,20605102
185,2010052
169,20504501
167,20200906
163,30707902
163,20300701
163,2010047
162,20606604
154,2010002
153,10107802
150,2010009
148,2010078
148,2010004
146,2010118
145,20504801
145,2010003
144,2010041
143,20504802
143,2010141
143,20605201
140,20807202
138,2010117
138,20605202
137,2010122
137,2010063
136,2010120
136,2010062
135,2010064
130,2010029
130,2010119
130,20402801
129,10101302
128,2010005
127,2010039
122,10101301
121,2010121
121,2010024
118,30707901
117,20602106
116,20605501
112,2010055
112,20605001
110,2010374
108,20605402
107,10403701
103,20605401
102,30608002
100,2010061
98,2010050
95,30608001
94,2010035
90,2010027
90,2010074
88,2010034
84,2010056
82,20204101
82,2010375
81,10107702
81,2010082
79,2010126
79,2010060
77,2010140
75,2010081
74,10107701
72,2010013
70,2010059
69,10207101
68,2010128
68,10104301
67,20605502
66,2010014
63,30603301
61,2010071
59,2010069
58,2010083
56,2010127
56,2010049
54,2010037
54,2010028
53,2010084
53,2010129
50,2010366
49,20807601
49,20504902
46,20602105
45,20501410
45,10207102
42,20807502
42,20807602
41,20807501
38,20501411
38,30602505
29,2010379
29,20400804
29,10200904
25,10100408
25,2010380
25,2010319
24,2010364
23,10200901
20,10100407
20,2010326
20,20605002
19,20501408
18,10200903
18,2010080
17,20506502
15,10300504
15,20403602
15,2010079
15,2010138
14,2010290
14,2010058
13,2010202
13,2010335
13,10300506
13,20606504
12,30602506
12,2010194
12,2010301
12,20602102
11,20506501
11,2010216
11,10100606
11,2010336
11,2010249
11,2010057
10,2010302
10,2010225
10,2010341
10,20501412
9,10301102
9,20501413
9,20507401
9,2010277
9,2010365
9,2010363
9,20602101
9,2010320
8,2010137
8,2010198
8,2010248
8,2010163
8,10200613
8,2010185
8,2010325
8,2010116
8,10301101
7,2010311
7,2010278
7,2010188
7,2010288
7,2010327
7,2010156
7,2010306
7,10100610
7,30605901
7,2010195
7,2010205
7,2010211
7,10103901
6,2010224
6,2010203
6,2010358
6,2010303
6,20400803
6,2010304
6,2010305
6,10200614
6,2010342
6,2010220
5,2010149
5,2010165
5,2010309
5,2010189
5,2010193
5,2010287
5,2010268
5,2010190
5,2010210
5,2010343
5,20602201
5,2010300
5,2010377
4,2010214
4,30603601
4,2010328
4,2010154
4,2010184
4,10100605
4,2010357
4,2010378
4,2010262
4,2010337
4,2010338
4,2010199
4,2010331
3,2010381
3,2010115
3,2010172
3,2010346
3,2010347
3,10300607
3,2010354
3,2010345
3,2010178
3,10101201
3,2010243
3,2010222
3,20602601
3,2010279
3,2010273
3,10100609
3,2010282
3,2010223
3,2010274
3,2010182
3,2010200
3,10300601
2,2010192
2,2010369
2,2010275
2,2010245
2,2010267
2,2010368
2,2010350
2,31007001
2,2010166
2,2010151
2,2010209
2,20602301
2,20807201
2,2010114
2,30606703
2,2010221
2,2010281
2,2010177
2,2010144
2,2010295
2,2010176
2,2010218
2,2010234
2,20504201
2,2010213
1,2010201
1,2010382
1,2010215
1,2010217
1,2010229
1,2010219
1,2010146
1,2010204
1,2010145
1,2010344
1,2010235
1,2010334
1,2010286
1,2010307
1,2010308
1,2010285
1,2010175
1,20501901
1,2010283
1,2010174
1,2010173
1,2010280
1,20501701
1,2010191
1,20602701
1,2010167
1,2010270
1,2010269
1,2010258
1,2010241
1,2010239
1,2010349
1,2010236
1,2010353
1,2010207
