车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
粤X|e64f1a15d62e2fbe53d38bad6a88562c,,0,0,,2017-05-01 15:24:20,2017-05-01 15:26:13,02010043,0,1,,,,,,-1.00,,,2,20170501152420000201004311_9,20170501152420000201004312_9,,,,1,0,1,94,0,0,1,,Uf,,,
粤B|49fff6b2eb6b9e9d22b3b028d854fb0e,,0,0,,2017-05-01 15:23:36,2017-05-01 15:26:13,20301814,0,1,,,,,,81.00,,,2,20170501152336002030181411_9,20170501152336002030181412_9,,,,1,0,1,95,0,0,1,,Uf,,,
粤M|6fc6e04a3ab5b68a8e2472eccbe9b87c,,0,0,,2017-05-01 15:22:40,2017-05-01 15:26:13,20602406,0,1,,,,,,55.59,,,2,20170501152240012060240611_9,20170501152240012060240612_9,,,,1,0,1,677,0,0,1,,Uf,,,
粤B|8aad23d07f9c9283968d9603c4452212,,0,0,,2017-05-01 15:23:22,2017-05-01 15:26:14,02010050,0,1,,,,,,-1.00,,,2,20170501152322000201005011_9,20170501152322000201005012_9,,,,1,0,1,96,1,0,1,,Uf,,,
粤A|9931aa71da6a1ae5b3b67a7e1184115e,,0,0,,2017-05-01 15:22:04,2017-05-01 15:26:14,02010056,0,2,,,,,,-1.00,,,2,20170501152204000201005621_9,20170501152204000201005622_9,,,,1,0,1,94,1,0,1,,Uf,,,
湘E|e0536283219162a874cab4c2ac78f414,,0,0,,2017-05-01 15:25:53,2017-05-01 15:26:14,30606704,0,4,,,,,,-1.00,,,2,20170501152553063060670441_9,20170501152553063060670442_9,,,,1,0,0,80,0,0,1,,Uf,,,
粤B|018f9db14879acd1a09783288ce522c7,,0,0,,2017-05-01 15:26:10,2017-05-01 15:26:14,30606708,0,4,,,,,,-1.00,,,2,20170501152610743060670841_9,20170501152610743060670842_9,,,,1,0,0,99,0,0,1,,Uf,,,
粤B|76eddec94cf59f3d6676cc7118e4e4f3,,0,0,,2017-05-01 15:03:42,2017-05-01 15:26:14,02010127,0,1,,,,,,48.00,,,2,20170501150342830201012711_9,20170501150342990201012712_9,,,,1,0,1,95,1,0,1,,Uf,,,
粤B|06af39b1a738200ec2da5b8675654025,,0,0,,2017-05-01 15:26:09,2017-05-01 15:26:14,20602406,0,3,,,,,,85.00,,,2,20170501152609062060240631_9,20170501152609062060240632_9,,,,1,0,1,669,0,0,1,,Uf,,,
粤Z|fb46c256d1e4d2f2293b291f06a150b1,,1,0,,2017-05-01 15:25:19,2017-05-01 15:26:14,20501803,0,1,,,,,,0.00,,,2,20170501152519002050180311_9,20170501152519002050180312_9,,,,1,0,1,86,0,0,1,,Uf,,,
湘A|99422337a764b98fe2e6a6fd47c51fd8,,0,0,,2017-05-01 15:26:09,2017-05-01 15:26:14,20501803,0,2,,,,,,0.00,,,2,20170501152609002050180321_9,20170501152609002050180322_9,,,,1,0,1,87,0,0,1,,Uf,,,
粤B|e378b3ea9c37ef66156234b4e24d9280,,0,0,,2017-05-01 15:26:09,2017-05-01 15:26:14,20504603,0,1,,,,,,110.00,,,2,20170501152609002050460311_9,20170501152609002050460312_9,,,,1,0,1,97,0,0,1,,Uf,,,
苏A|23ee197f82a8499d926ea61ef18a5549,,0,0,,2017-05-01 15:23:22,2017-05-01 15:26:14,02010037,0,2,,,,,,-1.00,,,2,20170501152322000201003721_9,20170501152322000201003722_9,,,,1,0,1,98,0,0,1,,Uf,,,
粤T|4267a2e6b6395e06376f8c544f3c127c,,0,0,,2017-05-01 15:24:05,2017-05-01 15:26:14,02010040,0,1,,,,,,-1.00,,,2,20170501152405000201004011_9,20170501152405000201004012_9,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|1daf2d1fa5b6474749146312d22ede99,,2,0,,2017-05-01 15:24:14,2017-05-01 15:26:14,10100211,0,5,,,,,,22.00,,,2,20170501152414001010021151_9,20170501152414001010021152_9,,,,1,0,1,92,0,0,1,,Uf,,,
粤B|2519be758cc87034c98f5c11625650e1,,0,0,,2017-05-01 15:24:20,2017-05-01 15:26:14,02010043,0,2,,,,,,-1.00,,,2,20170501152420000201004321_9,20170501152420000201004322_9,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|46bc08e357f413278d870ffdbd3199b3,,0,0,,2017-05-01 15:24:26,2017-05-01 15:26:14,02010043,0,1,,,,,,-1.00,,,2,20170501152426000201004311_9,20170501152426000201004312_9,,,,1,0,1,97,0,0,1,,Uf,,,
粤B|0a065855de85e8f7aeac5f1e1b63d1e8,,0,0,,2017-05-01 15:22:09,2017-05-01 15:26:14,20602405,0,2,,,,,,58.05,,,2,20170501152209092060240521_9,20170501152209092060240522_9,,,,1,0,1,686,0,0,1,,Uf,,,
