车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
﻿车牌号id1,车牌号id2,车牌类型1,车牌类型2,号牌种类,识别时间,上传时间,监测点id,进出口类型,车道id,车身颜色,车辆类型,车标,信息卡编码,违法类型,速度,前端id,行驶方向,图片张数,图片id1,图片id2,图片id3,图片id4,图片id5,前牌是否完成,后牌是否完成,前后牌是否一致,置信度,补传标志,方波长度,分区号,视频URL,保留字段,备用字段1,备用字段2,备用字段3
粤B|879b92903ff53d010cf7d9e36e0329e1,,0,0,,2017-05-02 00:01:46,2017-05-02 00:01:51,10200402,0,3,,,0,,,83.00,115,,0,pic?0dd203664-49ebb11i98*dp=*2pdi=*1s8i7=85b2iad43*6f25431a2-acc335--t=068m454bb360ib1=_115,pic?0dd203664-49ebb11i08*dp=*3pdi=*1s8i7=85b2iad43*6f25431a2-acc335--t=068m454bb360ib1=_115,,,,1,0,0,0,0,0,2,,,,,
粤B|662776b7780df4cd9b3dbf8f986b22ee,,0,0,,2017-05-02 00:01:49,2017-05-02 00:01:51,20602602,0,2,,,0,,,0.00,101,,0,pic?=d05id6754e693=te-0m*=03p4i=d1s*i0d83*6d3=*1b2i83c326fc5401b--9pb324i1172e94-fc640ed0_101,pic?=d05id6754e693=te-1m*=03p4i=d1s*i0d83*6d3=*1b2i83c326fc5401b--9pb324i1172e94-fc640ed0_101,,,,1,0,0,0,0,0,2,,,,,
粤L|a7860f643fb539a8c3ca2a225ed0ccc0,,0,0,,2017-05-02 00:01:48,2017-05-02 00:01:52,10203801,0,1,,,0,,,0.00,101,,0,pic?=d06i6c1541283=te-2m*=01p5i=d1s*i2d77*7d5=*1b1i3efb298e0ca2d--apf3e4i1174e94-ae6307d0_101,pic?=d06i6c1541283=te-3m*=01p5i=d1s*i2d77*7d5=*1b1i3efb298e0ca2d--apf3e4i1174e94-ae6307d0_101,,,,1,0,0,0,0,0,2,,,,,
粤B|7c4233a7db91ef2b10f501dfc7c43383,,0,0,,2017-05-02 00:01:49,2017-05-02 00:01:52,20606604,0,2,,,0,,,0.00,111,,0,pic?0ddb036fa-49ef711i533fp8--b1c45cf623334i3b4*=5d3s6*=5dpi*=1d3i2t102*m4-0f=36a5=5i20f_111,pic?0ddb036fa-49ef711i533fp8--b1c45cf623334i3b4*=5d3s6*=5dpi*=1d4i2t102*m4-0f=36a5=5i20f_111,,,,1,0,0,0,0,0,2,,,,,
粤B|acc58c56ed52256cd93872eb979c6268,,0,0,,2017-05-02 00:01:49,2017-05-02 00:01:52,20502004,0,4,,,0,,,48.00,109,,0,pic?=d05i15854e0f3=t5-9m*=06p6i=d1s*i1d60*5d9=*1bcid3c325fc54d17--9pa3b5i1100e94-0d640ed0_109,pic?=d05i15854e0f3=t5-0m*=06p7i=d1s*i1d60*5d9=*1bcid3c325fc54d17--9pa3b5i1100e94-0d640ed0_109,,,,1,0,0,0,0,0,2,,,,,
粤B|daf2a916bf0743224b1f5d43bd338209,,0,0,,2017-05-02 00:01:50,2017-05-02 00:01:52,20602602,0,1,,,0,,,0.00,115,,0,pic?0ddf0466e-49eab11i583cpa--91345cf62343ai2b5*=3d8s2*=9dpi*=1d1i2t206*m4-4f=35ec=5i903_115,pic?0ddf0466e-49eab11i583cpa--91345cf62343ai2b5*=3d8s2*=9dpi*=1d2i2t206*m4-4f=35ec=5i903_115,,,,1,0,0,0,0,0,2,,,,,
粤B|3e509e64ea688f3d3c2adca54fdd466f,,0,0,,2017-05-02 00:01:50,2017-05-02 00:01:53,20605301,0,1,,,0,,,0.00,115,,0,pic?=d06i88254b823=t5-4m*=06p0i=d1s*i2d27*9d7=*1b3i232326fc54d15--8p7345i1117e94-85630bd0_115,pic?=d06i88254b823=t5-5m*=06p0i=d1s*i2d27*9d7=*1b3i232326fc54d15--8p7345i1117e94-85630bd0_115,,,,1,0,0,0,0,0,2,,,,,
粤B|cecfdc916e73032cd0c4560b1c227a6a,,0,0,,2017-05-02 00:01:51,2017-05-02 00:01:53,02010119,0,1,,,0,,,95.00,111,,0,pic?0dd6046b3-49e9711i57*dp=*1pdi=*1s2i3=07b8i1d81*7f65431e2-9c1375--t=02em4508b350i09=_111,pic?0dd6046b3-49e9711i67*dp=*1pdi=*1s2i3=07b8i1d81*7f65431e2-9c1375--t=02em4508b350i09=_111,,,,1,0,0,0,0,0,2,,,,,
No|6bb6c6594f5cb1a5700698e9a7d72619,,13,0,,2017-05-02 00:01:48,2017-05-02 00:01:53,10103501,0,2,,,0,,,0.00,115,,0,pic?=d05ie20541c23=t5-0m*=07p8i=d1s*i3d28*5d6=*1b1i4e6b298e0ca27--bp4345i1113e94-44650bd0_115,pic?=d05ie20541c23=t5-1m*=07p8i=d1s*i3d28*5d6=*1b1i4e6b298e0ca27--bp4345i1113e94-44650bd0_115,,,,0,0,0,0,0,0,2,,,,,
粤B|08bba70099e90fce248ccb5e05d11252,,0,0,,2017-05-02 00:01:51,2017-05-02 00:01:54,20504901,0,3,,,0,,,0.00,115,,0,pic?0dd303634-49ecb11i5a35p8--42ac0e892bce4i1b2*=9d3s0*=0dpi*=1d4i0t506*m4-44=36ec=5i300_115,pic?0dd303634-49ecb11i5a35p8--42ac0e892bce4i1b2*=9d3s0*=0dpi*=1d5i0t506*m4-44=36ec=5i300_115,,,,1,0,0,0,0,0,2,,,,,
粤B|d6c3832e8d0e8d39f21517f6772230e4,,2,0,,2017-05-02 00:01:34,2017-05-02 00:01:54,02010046,0,4,,,0,,,0.00,115,,0,pic?0dd6036ff-49ecb11i5b35pa--32bc0e892b9e3i1b1*=7d7*71d3i*s1d=i4p8t=06*m4-4a=3605=5i40d_115,pic?0dd6036ff-49ecb11i5b35pa--32bc0e892b9e3i1b1*=7d7*71d3i*s1d=i5p8t=06*m4-4a=3605=5i40d_115,,,,1,0,0,0,0,0,2,,,,,
粤B|91a6cb030755fd696c87863c55f0d768,,0,0,,2017-05-02 00:01:52,2017-05-02 00:01:54,20602602,0,2,,,0,,,0.00,101,,0,pic?=d05id6054e693=te-2m*=03p4i=d1s*i0d83*6d3=*1b2i83c326fc5401b--9pb324i1172e94-fc650ed0_101,pic?=d05id6054e693=te-3m*=03p4i=d1s*i0d83*6d3=*1b2i83c326fc5401b--9pb324i1172e94-fc650ed0_101,,,,1,0,0,0,0,0,2,,,,,
粤B|b4c6ec363f5e1423252a3fe0ca06761d,,0,0,,2017-05-02 00:01:49,2017-05-02 00:01:55,20606606,0,1,,,0,,,0.00,113,,0,pic?0dd7036ec-49ee911i2b*dp=*8pdi=*1s4i7=05b2i3db3*6f35431e2-9c8305--t=0d6m4500b360ib4=_113,pic?0dd7036ec-49ee911i3b*dp=*8pdi=*1s4i7=05b2i3db3*6f35431e2-9c8305--t=0d6m4500b360ib4=_113,,,,1,0,0,0,0,0,2,,,,,
