监测点id,方向,卡口经度,卡口纬度,2017-05-05 00:00:00-2017-05-05 00:30:00,2017-05-05 00:30:00-2017-05-05 01:00:00,2017-05-05 01:00:00-2017-05-05 01:30:00,2017-05-05 01:30:00-2017-05-05 02:00:00,2017-05-05 02:00:00-2017-05-05 02:30:00,2017-05-05 02:30:00-2017-05-05 03:00:00,2017-05-05 03:00:00-2017-05-05 03:30:00,2017-05-05 03:30:00-2017-05-05 04:00:00,2017-05-05 04:00:00-2017-05-05 04:30:00,2017-05-05 04:30:00-2017-05-05 05:00:00,2017-05-05 05:00:00-2017-05-05 05:30:00,2017-05-05 05:30:00-2017-05-05 06:00:00,2017-05-05 06:00:00-2017-05-05 06:30:00,2017-05-05 06:30:00-2017-05-05 07:00:00,2017-05-05 07:00:00-2017-05-05 07:30:00,2017-05-05 07:30:00-2017-05-05 08:00:00,2017-05-05 08:00:00-2017-05-05 08:30:00,2017-05-05 10:30:00-2017-05-05 11:00:00,2017-05-05 11:00:00-2017-05-05 11:30:00,2017-05-05 12:00:00-2017-05-05 12:30:00,2017-05-05 12:30:00-2017-05-05 13:00:00,2017-05-05 14:00:00-2017-05-05 14:30:00,2017-05-05 15:00:00-2017-05-05 15:30:00,2017-05-05 15:30:00-2017-05-05 16:00:00,2017-05-05 16:30:00-2017-05-05 17:00:00,2017-05-05 17:30:00-2017-05-05 18:00:00,2017-05-05 18:00:00-2017-05-05 18:30:00,2017-05-05 18:30:00-2017-05-05 19:00:00,2017-05-05 19:00:00-2017-05-05 19:30:00,2017-05-05 19:30:00-2017-05-05 20:00:00,2017-05-05 20:00:00-2017-05-05 20:30:00,2017-05-05 20:30:00-2017-05-05 21:00:00,2017-05-05 21:00:00-2017-05-05 21:30:00,2017-05-05 21:30:00-2017-05-05 22:00:00,2017-05-05 22:00:00-2017-05-05 22:30:00,2017-05-05 22:30:00-2017-05-05 23:00:00,2017-05-05 23:00:00-2017-05-05 23:30:00,2017-05-05 23:30:00-2017-05-06 00:00:00
30606702,,,,1004.0,1212.0,1555.0,1646.0,2026.0,2105.0,2159.0,2385.0,2026.0,2377.0,2159.0,2096.0,1428.0,904.0,1257.0,1952.0,2362.0,2150.0,1705.0,1992.0,1975.0,2194.0,2111.0,2206.0,3106.0,3178.0,2823.0,2977.0,2667.0,2331.0,2341.0,2297.0,2046.0,1993.0,1833.0,1538.0,1216.0,948.0
31006901,,,,816.0,64.0,49.0,49.0,44.0,32.0,37.0,33.0,36.0,36.0,51.0,59.0,68.0,111.0,358.0,382.0,406.0,440.0,479.0,398.0,340.0,553.0,517.0,550.0,511.0,537.0,597.0,443.0,360.0,358.0,352.0,317.0,304.0,301.0,278.0,244.0,230.0,143.0
2010364,,,,613.0,478.0,382.0,331.0,232.0,273.0,196.0,165.0,128.0,170.0,159.0,251.0,414.0,863.0,1485.0,1781.0,1855.0,3196.0,3288.0,2818.0,2910.0,3373.0,2985.0,3586.0,4046.0,3507.0,3036.0,2869.0,2570.0,2389.0,2519.0,2325.0,2155.0,1953.0,1843.0,1496.0,1230.0,1022.0
2010132,,,,608.0,533.0,436.0,294.0,294.0,266.0,239.0,245.0,209.0,236.0,249.0,294.0,475.0,724.0,1149.0,1391.0,1448.0,1960.0,1903.0,1648.0,1831.0,1989.0,1563.0,1939.0,2003.0,2123.0,2075.0,2109.0,1963.0,1931.0,1927.0,1781.0,1430.0,1542.0,1641.0,1305.0,988.0,640.0
2010019,,,,597.0,547.0,494.0,444.0,331.0,297.0,268.0,220.0,246.0,249.0,319.0,441.0,509.0,722.0,622.0,641.0,581.0,564.0,566.0,537.0,598.0,630.0,601.0,563.0,619.0,588.0,629.0,641.0,697.0,697.0,600.0,611.0,548.0,565.0,495.0,542.0,614.0,660.0
2010250,,,,562.0,470.0,353.0,315.0,260.0,213.0,189.0,172.0,196.0,192.0,213.0,278.0,308.0,501.0,767.0,803.0,797.0,1185.0,1171.0,1045.0,988.0,1058.0,1114.0,1165.0,1171.0,1344.0,1336.0,1343.0,1252.0,1003.0,1160.0,1172.0,1259.0,1138.0,1068.0,993.0,874.0,863.0
2010133,,,,548.0,444.0,370.0,315.0,274.0,260.0,209.0,206.0,210.0,240.0,260.0,282.0,400.0,786.0,1183.0,1907.0,2339.0,1986.0,1767.0,1774.0,1970.0,1831.0,430.0,962.0,2038.0,1734.0,2133.0,1737.0,1580.0,1541.0,1599.0,1643.0,1567.0,1458.0,1269.0,1097.0,963.0,806.0
20300615,,,,544.0,455.0,396.0,406.0,353.0,344.0,279.0,260.0,272.0,262.0,265.0,339.0,359.0,498.0,746.0,1060.0,1181.0,1015.0,947.0,911.0,796.0,947.0,957.0,1018.0,966.0,1041.0,1083.0,1062.0,983.0,981.0,960.0,984.0,978.0,1077.0,1021.0,896.0,751.0,699.0
20507403,,,,528.0,434.0,388.0,374.0,316.0,239.0,243.0,335.0,548.0,797.0,925.0,1152.0,1135.0,1139.0,937.0,902.0,762.0,848.0,873.0,885.0,915.0,833.0,989.0,987.0,1023.0,1018.0,845.0,851.0,745.0,707.0,687.0,630.0,572.0,502.0,412.0,384.0,428.0,381.0
20605301,,,,518.0,455.0,370.0,343.0,308.0,297.0,275.0,277.0,242.0,329.0,322.0,405.0,486.0,617.0,671.0,657.0,680.0,801.0,728.0,761.0,681.0,748.0,855.0,877.0,915.0,942.0,898.0,989.0,1014.0,998.0,1086.0,1017.0,921.0,1000.0,931.0,915.0,752.0,701.0
