2017-05-17 21:30:00-2017-05-17 21:40:00,监测点id
4865,20507301
4737,20507304
4544,20507302
3404,20507303
2660,20504601
1548,10100204
1408,10100206
1406,10300201
1389,10100205
1266,10300207
1251,20501803
1245,10100404
1232,20504604
1130,20504602
1122,20501804
995,10100203
968,10100406
932,2010128
908,10100403
868,2010131
822,10200903
808,10200104
805,10100211
801,10100405
775,10300202
741,10200102
739,2010054
683,20100301
680,20104403
678,10200402
671,10300212
666,10300504
628,30606702
625,10100408
616,20501805
595,20500304
571,10200103
564,20501402
558,10100407
541,20501404
530,2010138
527,20501405
525,20104605
520,20104401
502,10300503
492,2010302
491,10300505
491,20104402
478,20501408
477,10300506
472,20501409
456,20504202
455,20100306
450,30606708
446,20501407
446,20504603
435,2010325
435,10300213
430,2010364
420,20501406
399,2010044
387,30606703
380,20501811
380,10301101
377,2010135
370,2010137
366,20101816
365,20501411
360,20501403
358,10300601
356,10200901
347,10203801
346,10203802
336,10100605
333,10300607
322,2010250
320,20104404
315,10100603
315,2010319
314,20502004
311,10301102
309,20602101
304,2010021
300,10306101
299,20101813
298,20104607
298,2010288
295,2010123
295,2010289
294,20501413
294,10200614
293,2010290
292,2010320
289,20301815
288,20501807
288,20501810
281,20606603
280,20501412
272,20501410
270,10100604
269,10100606
268,20300615
263,10300602
258,2010363
255,20504203
244,20104606
241,10103501
241,20605301
241,20501809
239,10103502
233,2010020
231,20602405
229,10100610
221,20101817
221,20502003
217,10100609
215,20400802
213,10101001
211,2010336
210,30606709
210,2010303
210,2010018
206,10101004
205,30606705
205,2010051
203,2010341
202,20602603
200,2010335
198,10100612
197,20602104
197,2010048
196,2010382
196,2010017
195,20504901
192,2010052
191,20605302
187,10101201
185,20602404
183,20602602
181,2010198
181,10200904
181,2010199
180,2010342
179,20400801
178,2010205
178,2010287
177,2010337
177,10200613
176,2010047
173,20101812
173,20602403
172,2010042
172,2010073
172,20200905
171,20503402
170,10101003
168,20602102
168,2010381
167,2010043
165,2010003
165,30701903
164,2010002
163,20400805
162,20606602
159,2010004
156,20503401
156,2010046
156,2010213
155,2010216
155,30701902
154,20606604
153,2010277
153,30606002
153,2010019
153,2010040
153,2010190
152,20507403
151,2010026
150,20602103
150,2010182
149,2010009
149,2010278
148,20605202
147,2010036
147,20605101
147,2010304
144,2010202
142,20400806
142,2010311
141,2010045
140,2010035
139,20300701
138,20602406
136,2010274
136,20507402
135,2010025
135,2010005
134,2010331
133,2010141
133,20602201
133,20606606
131,2010211
131,10107802
131,2010345
131,30606701
131,10104301
130,20606601
127,2010163
126,20504702
124,2010353
124,10101202
122,2010061
122,2010340
121,20501901
120,2010259
120,2010217
118,20605502
118,20605402
118,2010327
117,10101302
116,20605002
116,2010194
116,2010041
115,20504501
115,2010184
114,2010034
114,2010260
113,2010338
113,2010183
112,2010024
112,2010039
112,2010156
112,20605001
112,2010328
111,2010219
111,2010358
110,2010282
110,2010309
108,2010268
108,10101301
107,2010038
106,20504201
106,20606605
106,2010346
105,2010200
105,2010343
105,2010267
104,2010357
104,2010214
104,2010276
104,2010220
103,2010027
103,20605102
103,2010072
103,2010050
102,2010154
102,10107801
101,2010273
100,2010281
100,2010064
97,20504205
97,2010010
96,2010134
95,2010049
95,2010195
95,20605401
94,20504204
93,2010185
91,2010126
90,20602106
90,2010124
89,2010166
89,20605201
89,2010305
89,2010344
89,2010351
89,2010165
88,2010118
87,30603601
87,2010140
87,2010125
87,2010062
86,2010330
86,2010031
86,30707902
85,2010063
83,2010028
83,2010275
83,20200906
83,2010121
82,2010127
81,30605901
81,2010149
80,2010347
80,2010221
79,30707901
79,20501808
79,10103901
79,20504801
79,2010308
78,2010354
77,2010203
77,2010224
77,2010210
76,2010129
75,10107701
73,2010117
72,20602601
72,2010030
72,2010306
71,2010130
71,10107702
71,20204101
71,2010167
70,2010192
69,20605501
68,2010191
68,2010119
68,30603301
68,2010339
67,2010178
67,2010120
66,2010176
64,20807201
63,20504701
63,2010193
63,2010188
63,2010179
63,20807202
62,2010144
61,2010074
61,2010071
60,20501701
60,2010296
60,2010329
59,2010349
59,2010037
59,2010225
58,2010270
57,2010201
57,20402801
57,2010285
56,2010269
56,20504802
56,2010151
55,2010374
53,2010078
52,2010375
52,2010265
52,2010177
52,30602505
51,2010266
51,2010143
51,2010029
51,20301814
51,2010209
50,2010379
50,2010122
50,2010323
50,2010218
50,30608002
49,2010116
49,2010081
48,10403701
48,2010082
47,20602301
47,2010189
47,2010326
46,2010001
46,2010113
46,2010301
46,2010077
45,20504902
45,2010295
43,2010334
41,2010294
41,20807601
41,31006901
40,2010257
40,10207101
38,20807502
38,2010378
37,2010377
36,2010114
35,2010083
35,2010258
34,2010333
34,2010286
34,2010350
32,2010283
32,2010059
32,20807501
32,2010243
31,2010060
31,30608001
30,2010324
30,2010261
28,2010173
28,2010084
28,2010239
28,30602506
27,2010115
26,2010207
26,10207102
25,2010284
25,20602105
24,2010174
24,20602701
23,2010380
23,20807602
23,2010014
23,2010172
23,2010070
22,2010080
20,2010245
18,2010242
17,2010079
17,2010069
17,2010240
17,2010368
16,2010262
16,2010229
15,2010015
13,2010241
13,2010228
12,2010057
12,2010175
12,2010170
11,2010058
11,2010016
10,2010369
9,2010164
9,2010231
9,2010169
9,2010186
9,2010236
8,2010187
8,2010111
7,20507401
7,2010235
6,10101002
6,2010013
5,2010226
5,2010373
4,2010233
4,2010230
4,2010376
3,2010168
3,2010232
2,2010234
2,2010237
1,2010227
1,31007001
