2017-05-17 06:50:00-2017-05-17 07:00:00,监测点id
1246,10100406
1193,20500304
1160,10300207
1077,20100306
1034,10200103
953,2010128
776,10300202
702,10200104
701,10200102
692,20104403
690,20501405
689,10300201
671,10100203
665,10200904
656,2010123
647,20501403
637,10203801
623,20104607
612,10100404
597,10100205
592,2010137
588,20104401
587,10200901
570,10100405
570,10203802
565,20501404
563,10100206
558,2010260
554,10100204
546,20501408
538,20504601
509,10200903
494,10100211
488,10300213
475,10100407
453,20507403
450,10306101
438,20507402
436,10200402
436,2010325
435,10100408
433,20507302
427,10300504
420,20501406
411,30606707
408,10301102
406,20501409
404,2010364
399,20501407
396,20501412
393,20100301
391,10300506
387,20507303
386,2010320
386,20104605
385,30606706
378,10300212
377,20501413
373,20501807
360,2010382
358,20502003
350,10100403
347,20501402
346,10301101
346,30606704
341,20504203
334,2010290
332,20605302
323,30606703
316,20507304
316,2010381
315,20606602
314,20502004
313,2010124
313,20204001
311,20501410
311,30606710
310,2010131
308,20104402
308,20501411
297,2010302
296,30606708
294,2010125
292,20606604
287,30606702
284,2010338
283,2010138
278,10300503
277,20602102
277,10300602
275,2010319
270,2010044
268,2010019
266,20507301
265,10101001
263,2010289
259,20400803
258,10300505
256,2010336
255,20606504
254,20605301
247,20504602
247,2010288
246,20501803
246,20506501
245,2010326
243,20501805
242,20606503
242,2010341
241,20602603
240,20506502
238,2010045
233,20501811
229,20605502
227,2010198
225,20504604
222,20504603
222,20400805
221,2010250
220,2010046
216,20300615
215,20400806
215,10104301
212,10103502
212,20101816
212,2010335
206,10103501
199,20104404
193,2010374
190,2010363
189,20503401
185,20606603
183,10101201
183,10101003
178,20101813
178,30701902
178,20504202
177,2010278
174,10100604
172,2010216
164,2010140
162,20104606
161,10100606
161,20602404
161,2010205
160,2010017
160,2010342
159,2010135
157,2010248
154,20605002
154,2010346
153,20400804
150,2010249
148,20501901
148,20606601
146,2010141
144,20602104
143,30606709
142,10101004
141,20400801
141,20606606
141,2010134
139,2010287
139,2010025
139,20602101
139,2010185
137,30606002
135,20602406
135,2010217
134,2010072
134,2010144
134,2010183
133,2010353
133,2010213
133,2010052
133,2010329
133,20602602
131,2010277
130,20605201
130,10107801
129,20602405
129,10100603
128,2010018
128,2010199
127,20200906
127,30606705
127,2010309
126,2010026
126,20606605
125,20301815
125,2010200
124,10100605
123,2010182
121,10100612
120,20400802
119,20501810
119,20101817
118,20200905
118,10101301
117,2010048
117,2010074
117,10103901
115,2010047
114,10200614
114,10107802
113,20101812
113,10100610
112,2010311
110,2010357
109,2010211
108,30707902
108,20503402
108,2010191
107,10100609
107,20605202
106,20605101
106,2010190
105,20504901
105,10300601
104,20807201
104,2010303
104,2010166
103,20602103
103,30701903
103,20504201
102,2010163
101,2010020
101,10300607
100,2010345
100,2010340
100,10200613
100,20300701
99,30605901
98,2010062
98,2010009
97,2010343
97,20504702
97,2010339
97,10101202
96,20602601
96,2010274
95,2010276
95,20602106
95,2010267
94,20501802
94,2010331
93,2010120
93,2010061
92,20403602
92,20504205
92,2010259
91,2010051
89,2010281
89,2010273
89,2010269
89,2010156
88,20605402
88,2010201
88,2010063
86,2010351
85,2010050
85,10107702
84,2010122
84,2010036
84,20504501
84,2010301
84,2010214
84,30707901
83,2010192
83,2010284
82,2010004
82,2010149
81,20501809
80,2010021
80,20602403
80,2010224
79,2010308
79,2010003
79,2010002
79,2010039
79,20807502
77,2010184
77,2010154
76,2010064
76,2010215
75,2010268
75,2010178
75,2010117
75,20602201
75,2010073
75,2010337
74,2010041
74,2010221
74,2010010
74,2010327
73,2010344
72,2010294
72,2010118
71,2010275
71,20605401
71,2010283
70,2010358
69,10403701
69,30603301
69,2010119
68,2010001
68,20605102
68,2010194
67,2010195
67,20402801
67,2010188
65,20504802
65,2010031
64,20807602
63,2010225
62,2010219
62,2010151
62,20504701
61,2010027
61,31006901
61,2010354
60,2010304
60,10101302
59,30608001
59,2010270
59,20504801
59,2010306
58,2010165
57,20602301
56,2010078
56,2010210
55,2010323
55,2010193
55,2010209
55,2010082
54,2010035
54,2010029
54,2010258
53,2010350
53,2010265
53,2010034
52,2010024
52,2010081
52,2010121
51,2010202
51,2010189
51,2010176
51,2010179
50,2010266
50,2010282
50,2010126
50,2010349
48,2010077
47,2010220
47,20605001
46,2010328
46,2010305
45,2010347
45,20204101
44,20605501
42,2010177
42,2010030
40,2010043
40,2010049
40,2010042
40,20504204
40,20807202
39,2010296
38,2010060
38,2010059
38,2010143
38,2010285
37,2010203
37,20301814
37,2010218
37,20501701
37,2010129
35,2010324
35,2010005
35,2010330
34,2010040
33,2010145
33,2010083
33,20504902
33,2010037
32,2010127
32,2010295
31,2010146
31,2010334
30,2010380
30,2010130
29,10107701
29,20807501
29,2010333
29,2010240
28,20501808
27,2010257
27,2010379
27,2010239
27,2010115
26,2010245
25,2010172
25,2010114
24,2010375
24,2010173
24,2010028
24,2010071
23,30602505
23,2010242
22,2010038
22,2010174
22,2010116
21,30608002
20,2010286
20,2010262
19,2010113
19,20807601
18,2010079
18,2010228
17,2010186
17,2010243
17,2010207
16,2010241
15,2010175
15,30602506
14,2010187
14,2010084
14,20501804
13,2010230
13,2010170
13,20602701
13,2010376
13,20507401
13,2010369
12,2010231
12,2010070
11,2010080
11,2010229
10,2010261
10,2010057
10,2010013
10,2010058
10,20602105
9,2010378
8,2010368
8,2010164
8,2010373
7,2010014
7,2010377
7,2010236
6,2010015
6,2010234
6,2010235
5,2010169
5,2010016
5,2010069
5,31007001
4,2010233
3,2010111
3,2010232
2,2010237
2,2010227
