2017-05-17 17:40:00-2017-05-17 17:50:00,监测点id
1865,2010131
1531,20104403
1212,10200104
1203,20104401
1153,10300503
1124,10200103
1116,10100405
1101,10200102
1092,10300504
962,20501405
954,10300505
944,10200402
926,10100211
910,10300202
905,20100301
877,20500304
873,2010364
868,20104402
824,30606702
822,20501409
821,10300212
808,20501407
780,20501404
770,20501810
768,20501408
755,20501811
716,20100306
714,30606708
701,20501402
701,30606703
699,10200901
698,20501406
684,10100403
666,2010054
659,20501805
643,10300201
635,10300213
627,2010289
618,10300506
612,20104607
610,10203801
606,10100609
605,20501807
602,20602101
599,10100603
598,10300601
597,2010325
581,2010302
568,20400801
562,10203802
562,2010319
557,2010044
553,10100204
553,2010288
551,20501803
545,20501403
536,10100407
535,20504202
533,2010137
533,10100205
533,20501809
521,20504601
519,20606603
517,2010042
516,10306101
513,10100604
511,20602406
510,2010043
510,20605002
506,20101813
496,20602405
495,2010287
489,20504603
488,2010381
483,2010363
483,10100206
477,2010123
468,30606709
465,20602404
459,20104404
457,10200903
453,10103501
450,10100605
444,10100404
443,20502003
443,20602102
435,10100612
434,2010041
433,10100610
433,2010290
433,2010199
428,20101812
427,2010250
424,10200614
420,2010040
419,2010036
409,2010320
403,2010021
400,2010039
400,20602403
400,10101001
399,2010382
399,20502004
397,30606705
396,20501410
385,20501411
385,10103502
380,2010277
380,2010051
379,10300602
377,2010003
376,2010073
374,10100606
371,2010303
368,2010052
367,2010002
367,20400802
362,2010004
360,20504203
358,20504602
356,30701903
352,20606601
350,20504604
350,20501804
341,10100408
340,2010047
338,2010038
338,2010341
336,2010335
335,2010278
335,2010048
333,2010345
331,2010198
328,20104605
323,2010138
322,2010050
318,2010190
318,20605302
315,20400805
314,20606602
311,20503402
310,20501808
310,10101003
304,20400806
303,20503401
296,20504501
296,10101004
295,20300615
292,2010342
291,2010183
290,20606604
288,10101201
287,2010205
287,2010213
284,2010127
284,20504702
284,30701902
283,2010126
282,10200613
282,20605301
278,10101202
276,2010009
275,20606606
269,2010301
268,2010020
267,2010129
266,2010327
266,2010282
265,20300701
263,10104301
260,20507403
259,30606002
258,2010273
252,20507402
250,20504901
248,2010202
248,10101302
246,2010267
245,20200905
245,2010035
244,2010026
241,2010211
239,10300607
239,2010346
239,20605202
238,2010336
238,2010200
236,2010025
236,20602602
235,2010274
234,2010128
232,20501901
231,2010331
231,20602201
228,20301814
227,20605201
221,2010017
221,30603301
220,2010214
220,2010269
220,2010304
220,2010046
219,20605402
219,20605101
218,2010156
218,2010260
217,2010259
216,20504201
214,10107802
214,20605502
210,2010037
207,2010010
206,2010224
206,20602603
206,2010340
205,2010182
205,2010125
203,2010124
202,20504701
200,2010045
200,20606605
199,20104606
199,2010216
198,20807202
198,2010027
197,30707901
197,30603601
197,2010185
196,2010281
196,2010339
196,2010268
196,2010072
196,20504204
195,2010309
193,2010034
192,2010030
189,31006901
188,2010064
184,2010001
183,10107801
183,2010220
182,2010063
180,2010061
179,10301101
179,2010178
178,2010163
178,2010275
178,2010134
176,20605001
175,2010165
173,2010276
171,2010311
169,2010194
169,2010337
168,2010305
167,20200906
166,2010343
166,2010024
166,2010130
165,10301102
165,2010005
165,30707902
164,2010358
163,20807201
161,2010179
160,2010329
158,2010019
157,10100203
157,2010120
156,10300207
156,2010338
155,20605102
155,2010062
154,2010184
154,10100406
153,2010141
153,20501412
153,2010353
152,20605401
152,2010119
151,2010217
150,2010347
149,2010270
146,2010031
146,2010294
145,2010028
145,2010193
144,2010357
143,20602601
142,2010330
142,2010154
141,2010167
140,2010195
138,2010219
137,2010151
137,2010328
137,2010191
136,20504205
135,2010210
135,2010203
135,2010201
135,2010177
134,2010266
132,2010225
130,10101301
130,2010122
129,20602104
129,10107701
129,2010166
129,2010283
127,2010074
126,20602106
125,2010241
124,2010344
123,2010308
121,2010349
119,2010176
119,2010351
119,2010221
118,2010192
117,2010334
116,30605901
115,2010306
115,10403701
114,20602103
114,20204101
114,2010188
114,10107702
114,20501413
113,2010374
112,2010118
112,2010379
112,20605501
112,2010117
106,2010121
105,20402801
105,2010149
103,2010029
103,2010257
101,2010209
100,2010265
100,2010218
100,2010239
98,30608002
97,2010295
97,20501701
96,20504801
96,2010140
95,2010116
95,2010114
94,2010296
92,20807501
92,2010113
91,2010243
90,2010081
90,2010323
89,2010354
89,2010285
88,20602105
88,2010078
87,2010286
86,2010060
86,2010059
86,2010144
85,10207101
85,2010324
84,20504802
84,2010115
83,30608001
79,20807502
77,2010333
77,20807601
77,2010350
72,30602505
70,2010070
70,2010229
70,2010143
70,2010082
67,20602301
64,2010242
64,2010284
64,2010084
61,20507302
60,2010189
59,10103901
59,2010258
57,20807602
55,20507303
54,2010228
54,2010071
53,2010261
52,20507304
52,2010380
52,2010174
50,10207102
48,2010375
48,2010231
47,2010080
47,2010083
47,30602506
45,2010173
45,20507301
44,2010013
44,20504902
43,2010014
42,2010049
41,2010077
41,2010378
41,2010172
41,2010207
40,2010368
38,20507401
37,2010262
36,10101002
35,2010079
35,2010187
31,2010186
31,2010016
30,2010015
30,2010373
30,2010169
30,2010170
29,2010230
28,2010135
28,2010377
27,2010369
27,2010245
24,2010164
23,2010069
22,2010058
22,2010057
21,2010018
21,2010240
20,20301815
20,2010175
17,20602701
16,20101817
15,2010232
14,31007001
13,2010236
13,2010233
13,20101816
12,2010376
11,2010111
11,2010237
9,2010235
8,2010234
4,2010227
1,2010226
